card_name	count
Mulcharmy Fuwalos	5641
Droll & Lock Bird	4173
Ash Blossom & Joyous Spring	3620
Mulcharmy Purulia	3401
Ghost Belle & Haunted Mansion	3225
Infinite Impermanence	2816
Nibiru, the Primal Being	2756
Forbidden Droplet	2275
Ash Blossom & Joyous Spring	2136
Retaliating "C"	1965
S:P Little Knight	1786
Called by the Grave	1667
Cupsy☆Yummy	1365
Dominus Impulse	1305
Marshmao☆Yummy	1215
Dracotail Faimena	1212
Rahu Dracotail	1206
Dracotail Lukias	1201
The Fallen &amp; The Virtuous	1179
Mulcharmy Meowls	1137
Dracotail Arthalion	1108
Yummy★Snatchy	1089
Effect Veiler	1088
Mitsurugi Prayers	1074
Pre-Preparation of Rites	1003
Triple Tactics Talent	985
Dark Ruler No More	979
Ame no Habakiri no Mitsurugi	966
Triple Tactics Thrust	964
Cooky☆Yummy	938
K9-17 Izuna	932
Ketu Dracotail	915
Dracotail Mululu	908
Lollipo☆Yummy	891
Dominus Purge	883
Artifact Lancea	828
Super Polymerization	817
Albion the Branded Dragon	783
Dracotail Urgula	763
Evenly Matched	762
Lightning Storm	755
Branded Fusion	749
Dimensional Fissure	721
Harpie's Feather Duster	692
Super Starslayer TY-PHON - Sky Crisis	690
Dracotail Pan	688
Bystial Magnamhut	660
K9-66a Jokul	631
Solemn Judgment	629
I:P Masquerena	609
Blazing Cartesia, the Virtuous	599
Mitsurugi Ritual	596
Sky Striker Mobilize - Engage!	584
Secreterion Dragon	578
Dimensional Barrier	578
Salamangreat Almiraj	572
Maliss <P> Chessy Cat	568
Backup @Ignister	562
Pot of Prosperity	557
Maliss <P> March Hare	551
Dimension Shifter	525
Yummy☆Surprise	525
Double Cyclone	520
Radiant Typhoon Vision	517
K9-04 Noroi	507
"A Case for K9"	499
Vanquish Soul Dr. Mad Love	494
Ame no Murakumo no Mitsurugi	486
Link Spider	472
Dracotail Gulamel	466
Vanquish Soul Jiaolong	464
Cooky★Yummy Way	456
Yummyusment☆Mignon	455
Lollipo★Yummy Way	455
Cupsy★Yummy Way	455
Kashtira Fenrir	449
K9-17 "Ripper"	425
Mitsurugi no Mikoto, Aramasa	421
Dracotail Flame	409
Allure of Darkness	398
Dracotail Horn	395
Fallen of the White Dragon	393
Vanquish Soul Hollie Sue	385
Maliss <P> White Rabbit	384
Maliss in Underground	383
Herald of the Arc Light	374
Dracotail Sting	372
Mystical Space Typhoon	370
Divine Arsenal AA-ZEUS - Sky Thunder	369
Fallen of Albaz	366
Bystial Druiswurm	362
Crossout Designator	362
Mitsurugi no Mikoto, Saji	362
Dinowrestler Pankratops	359
Radiant Typhoon Chant	358
K9-66b Lantern	356
Yummyusment★Acroquey	355
Mitsurugi Mirror	351
Anti-Spell Fragrance	348
K9-ØØ Lupis	344
Dracotail Phryxul	342
Radiant Typhoon Swen	341
Mitsurugi Great Purification	341
Rock of the Vanquisher	339
Khaos Starsource Dragon	336
Dyna Mondo	335
Radiant Typhoon Eldam	328
Mirrorjade the Iceblade Dragon	328
Vanquish Soul Razen	327
Stake your Soul!	325
Linguriboh	323
Solemn Warning	323
Ecclesia and the Dark Dragon	311
PSY-Framegear Delta	306
Garura, Wings of Resonant Life	303
Mistaken Arrest	302
Albion the Sanctifire Dragon	302
Dragon's Mind	301
Lubellion the Searing Dragon	297
Sky Striker Ace - Kagari	294
Mitsurugi no Mikoto, Kusanagi	293
Futsu no Mitama no Mitsurugi	289
Pot of Extravagance	285
Lava Golem	283
Vallon, the Super Psy Skyblaster	282
Mudragon of the Swamp	273
Dharc the Dark Charmer, Gloomy	271
Incredible Ecclesia, the Virtuous	265
Bystial Baldrake	263
Radiant Typhoon Krosea	255
Fiendsmith Engraver	253
Number 60: Dugares the Timeless	251
The Black Goat Laughs	249
The Dragon that Devours the Dogma	249
Sky Striker Mecha - Hornet Drones	241
Titaniklad the Ash Dragon	234
Haggard Lizardose	233
Gravity Controller	231
Accesscode Talker	230
Gold Sarcophagus	228
Obedience Schooled	226
Terraforming	223
Vanquish Soul Heavy Borger	222
Filia Regis	220
K9-X "Werewolf"	216
78661339	213
N.As.H. Knight	213
K9-X Forced Release	212
Mysterion the Dragon Crown	208
Alba-Lenatus the Abyss Dragon	208
Chaotic Elements	208
Radiant Typhoon Varuroon, the Marine Eidolon	207
Lunalight Gold Leo	204
Ghost Mourner & Moonlit Chill	203
The Zombie Vampire	203
Martial Metal Marcher	203
Gorgon of Zilofthonia	201
Reinforcement of the Army	200
Piri Reis Map	199
Maliss <P> Dormouse	195
D.D. Crow	194
Maliss <Q> Hearts Crypter	193
Maliss <C> MTP-07	192
Maliss <Q> Red Ransom	192
Cyberse Wicckid	191
K9-66X "Jacks"	191
Foolish Burial Goods	191
Lunalight Masquerade	191
Wizard @Ignister	189
Gravekeeper's Inscription	189
Spirit with Eyes of Blue	187
Allied Code Talker @Ignister	186
Saryuja Skull Dread	186
Linkuriboh	186
Cross-Sheep	185
90590304	185
Number 104: Masquerade	184
Hieratic Seal of the Heavenly Spheres	182
Raigeki	181
Fantastical Dragon Phantazmay	181
WANTED: Seeker of Sinful Spoils	181
Maliss in the Mirror	180
Fire Formation - Tenki	179
Shiina, Twin Tempests of Celestial Thunder	178
Girsu, the Orcust Mekk-Knight	177
Heavy Polymerization	176
CXyz N.As.Ch. Knight	176
Shamisen Samsara Sorrowcat	175
Vanquish Soul Caesar Valius	173
Ghost Ogre & Snow Rabbit	172
Evilswarm Exciton Knight	172
Vanquish Soul, Start!	171
THE Star Ham	164
Book of Eclipse	159
Vanquish Soul Snow Devil	159
Lunalight Perfume Dancer	157
Forbidden Crown	154
Diabellstar the Black Witch	148
Mitsurugi no Miko, Wousu	148
Number C104: Umbral Horror Masquerade	148
Orcust Harp Horror	147
Lunalight Leo Dancer	147
Lunalight Black Sheep	145
Gallant Granite	145
Lunalight Liger Dancer	143
Tri-Brigade Fraktall	143
Luna Light Perfume	141
Metaltronus	141
Maliss <C> TB-11	140
Fiendsmith's Tract	139
Lunalight Kaleido Chick	137
Different Dimension Ground	133
Branded Opening	133
PSY-Frame Driver	132
Aluber the Jester of Despia	132
Maliss <Q> White Binder	131
There Can Be Only One	129
PSY-Framegear Gamma	128
Rindbrumm the Striking Dragon	128
Lunalight Silver Hound	128
Sky Striker Mecha - Widow Anchor	128
Radiant Typhoon Meghala	123
D/D/D Wave High King Caesar	121
Maliss <C> GWC-06	120
Firewall Dragon	120
Albion the Shrouded Dragon	120
Branded in High Spirits	119
18144506	115
Sky Striker Ace - Raye	113
Seventh Tachyon	112
81439174	111
Solfachord Happiness	110
Night Sword Serpent	109
Sky Striker Mobilize - Linkage!	109
Solfachord Primoa	108
Crystron Sulfador	106
Fiendsmith's Requiem	105
Radiant Typhoon Ascendance	103
Solemn Strike	102
Radiant Typhoon Mandate	100
Totem Bird	100
62015408	100
Ice Ryzeal	100
Polymerization	99
Sky Striker Ace = Zero	98
Link Disciple	97
Bystial Saronir	96
Sword Ryzeal	96
Wynn the Wind Charmer, Verdant	93
Azamina Ilia Silvia	92
Primite Lordly Lode	91
Upstart Goblin	90
Galatea, the Orcust Automaton	89
Lacrima the Crimson Tears	89
Radiant Typhoon Varuroon, the Vibrant Vortex	88
Dracotail Shaulas	88
Ukanomitsune-no-Onari	88
Radiant Typhoon Fonix, the Great Flame	86
Granguignol the Dusk Dragon	86
Fiendsmith's Sequence	86
Tornado Dragon	84
Necroquip Princess	84
Fabled Lurrie	84
Lunalight Fusion	83
Mitsurugi Magatama	83
Primite Dragon Ether Beryl	82
Apophis the Swamp Deity	81
Elzette of the White Forest	80
Sky Striker Ace - Azalea	77
Vanquish Soul Rocks	77
Tiras, Keeper of Genesis	76
Forbidden Chalice	75
Deception of the Sinful Spoils	75
Imperial Princess Quinquery	75
94145022	74
Guardian Chimera	74
Hraesvelgr, the Desperate Doom Eagle	73
Silvy of the White Forest	73
Ryzeal Duo Drive	73
Orcust Cymbal Skeleton	72
Fiendsmith's Lacrima	71
The Winged Dragon of Ra - Sphere Mode	69
Lunalight Yellow Marten	69
Number 41: Bagooska the Terribly Tired Tapir	69
Dodododo Warrior	69
Sales Ban	68
Pot of Desires	68
Lunalight Wolf	68
Lunalight Tiger	68
Brotherhood of the Fire Fist - Tiger King	68
Fiendsmith's Desirae	68
Nadir Servant	67
Lunalight Emerald Bird	67
Clockwork Knight	67
Galatea-I, the Orcust Automaton	66
Witch of the White Forest	66
Mementotlan Angwitch	66
Mementotlan Tatsunootoshigo	66
Mementotlan Bone Party	66
Treasures of the Kings	66
Onomatopaira	66
Gameciel, the Sea Turtle Kaiju	65
Mementotlan Fusion	65
Dingirsu, the Orcust of the Evening Star	63
Zalen the Shackled Dragon	63
R.B. Stage Landing	63
R.B. Funk Dock	63
Silhouhatte Rabbit	63
Apophis the Serpent	62
Chaos Angel	61
The Hallowed Azamina	61
Number 38: Hope Harbinger Dragon Titanic Galaxy	61
Sky Striker Ace - Roze	61
Denko Sekka	60
R.B. VALCan Booster	60
Spenta, the Magistus Sealer	60
Rivalry of Warlords	59
Greatfly	59
Crystron Sulfefnir	59
Sky Striker Ace - Hayate	59
Saint Azamina	58
R.B. The Brute Blues	58
Goblin Biker Grand Breakout	58
Artifact Durendal	58
Contact "C"	57
Underworld Goddess of the Closed World	57
Ext Ryzeal	57
Bonfire	55
Crystron Inclusion	54
Magistus Chorozo	53
Guiding Quem, the Virtuous	53
Heat Wave	52
Azamina Mu Rcielago	52
Lunalight Panther Dancer	52
Number C101: Silent Honor DARK	52
Ryzeal Detonator	52
Mereologic Aggregator	51
World Legacy - "World Crown"	51
Illusion Gate	51
Jizukiru, the Star Destroying Kaiju	51
Sage with Eyes of Blue	51
Maiden of White	51
