card_name	count
Mystical Space Typhoon	4501
Call of the Haunted	2582
Mirror Force	2460
Heavy Storm	2115
Monster Reborn	1917
Swords of Revealing Light	1904
Bottomless Trap Hole	1877
Torrential Tribute	1767
Giant Trunade	1534
Premature Burial	1290
Polymerization	1275
Reinforcement of the Army	1098
Solemn Judgment	1024
Terraforming	985
Shrink	902
Smashing Ground	894
Dark Hole	885
Mystic Tomato	870
Lightning Vortex	839
Dark Bribe	838
Brain Control	833
Dust Tornado	823
Sangan	794
Creature Swap	782
Morphing Jar	776
Shining Angel	758
Giant Rat	729
Book of Moon	728
Cyber Dragon	707
Sakuretsu Armor	679
Pot of Avarice	674
Dimensional Prison	668
Honest	662
Royal Decree	660
Graceful Charity	654
Ally of Justice Catastor	642
Pot of Greed	632
Spirit Reaper	610
Nimble Momonga	605
Gold Sarcophagus	588
Messenger of Peace	576
Marshmallon	556
Waboku	556
Scapegoat	543
Foolish Burial	525
Snatch Steal	517
D.D. Warrior Lady	512
Stardust Dragon	506
Nobleman of Crossout	504
United We Stand	502
Pyramid Turtle	496
Giant Germ	496
Magic Cylinder	494
Compulsory Evacuation Device	485
Masked Dragon	485
Card Destruction	478
The Warrior Returning Alive	468
Brionac, Dragon of the Ice Barrier	446
Burden of the Mighty	446
Fissure	444
Raigeki Break	441
Mask of Darkness	426
Ryko, Lightsworn Hunter	414
Manju of the Ten Thousand Hands	413
Rush Recklessly	411
Magician of Faith	410
Colossal Fighter	400
Flying Kamakiri #1	398
Icarus Attack	394
King of the Swamp	394
Salvage	386
Black Rose Dragon	385
X-Saber Airbellum	379
Breaker the Magical Warrior	377
Nightmare's Steelcage	377
Threatening Roar	377
My Body as a Shield	376
Pot of Duality	376
Book of Life	372
Solemn Warning	372
Ring of Destruction	371
Limit Reverse	366
Metal Reflect Slime	366
Limiter Removal	364
Twister	363
Upstart Goblin	360
Mother Grizzly	356
Seven Tools of the Bandit	356
Megamorph	355
UFO Turtle	352
Gorz the Emissary of Darkness	350
Soul Exchange	335
Trap Hole	335
Mausoleum of the Emperor	325
Enemy Controller	320
Widespread Ruin	318
Mist Wurm	317
Thought Ruler Archfiend	314
Caius the Shadow Monarch	311
Raigeki	311
Level Limit - Area B	310
Divine Wrath	310
Big Bang Shot	309
Goyo Guardian	309
Solemn Wishes	308
Blue-Eyes White Dragon	308
Exiled Force	306
Birthright	305
Five-Headed Dragon	305
Gravity Bind	300
Mobius the Frost Monarch	299
Penguin Soldier	298
Shield Crush	295
Trishula, Dragon of the Ice Barrier	295
Armageddon Knight	295
E - Emergency Call	295
D.D. Assailant	294
Dimension Wall	293
Summoner Monk	291
A Cat of Ill Omen	291
Solidarity	287
Future Fusion	286
Mist Valley Soldier	282
Axe of Despair	281
Magical Mallet	281
Wall of Revealing Light	280
Krebons	277
Nova Summoner	277
Treeborn Frog	277
Gellenduo	276
46986414	276
Allure of Darkness	271
Giant Orc	269
Magical Merchant	268
A Legendary Ocean	267
Red Dragon Archfiend	267
Forbidden Chalice	267
Magical Android	266
Battle Fader	266
Fiendish Chain	265
Stamping Destruction	265
Jar of Greed	264
Marauding Captain	262
Magic Jammer	258
Des Koala	251
Dandylion	250
Instant Fusion	248
Gravekeeper's Spy	248
Mage Power	247
Crush Card Virus	247
Thunder King Rai-Oh	244
Dark Factory of Mass Production	241
Slate Warrior	241
Plaguespreader Zombie	240
Apprentice Magician	238
Tragoedia	235
Goblin Attack Force	234
Raiza the Storm Monarch	233
Junk Synchron	232
Gaia Power	230
Dark Eruption	230
Effect Veiler	230
Luster Dragon	229
Double Summon	227
Archfiend Soldier	227
Scrap Dragon	224
The Shallow Grave	224
Monster Reincarnation	223
Solar Flare Dragon	219
Naturia Beast	218
Dragon's Mirror	215
Scrap-Iron Scarecrow	214
Arcana Force 0 - The Fool	214
Cyber End Dragon	214
Zoma the Spirit	213
Fusilier Dragon, the Dual-Mode Beast	213
Summoned Skull	212
Gene-Warped Warwolf	211
Harpie's Feather Duster	211
Stealth Bird	211
Vorse Raider	210
Lyla, Lightsworn Sorceress	210
Hand Destruction	209
Offering to the Snake Deity	207
Senju of the Thousand Hands	207
Trade-In	206
Phantom of Chaos	206
Wave-Motion Cannon	206
X-Saber Urbellum	205
Miracle Fusion	204
Goblin Zombie	204
Goblindbergh	203
Dark Resonator	202
