card_name	count
Doomcaliber Knight	10
Maha Vailo	9
Black Pendant	7
Dark Necrofear	7
Destiny Board	7
Man-Eater Bug	6
Beiige, Vanguard of Dark World	6
Broww, Huntsman of Dark World	6
Caius the Shadow Monarch	6
Chaos Hunter	6
Giant Germ	6
Trance Archfiend	6
Escape from the Dark Dimension	6
A Cat of Ill Omen	6
Magical Mallet	6
Upstart Goblin	6
Good Goblin Housekeeping	6
Trap Hole	5
Spirit Message "I"	5
Spirit Message "N"	5
Spirit Message "A"	5
Spirit Message "L"	5
Dragon Zombie	4
Dark Assailant	4
Ghoul with an Appetite	4
Axe of Despair	4
Candle of Fate	4
Tour Guide From the Underworld	4
Tragoedia	4
The Beginning of the End	4
The Gates of Dark World	4
Headless Knight	4
Battle Fader	4
Spirit Reaper	4
Nightmare's Steelcage	4
Horn of the Unicorn	4
Sword of Deep-Seated	4
Dark Elf	3
Pot of Greed	3
Shadow Specter	3
Tomozaurus	3
Mystery Hand	3
Mech Mole Zombie	3
Archfiend Marmot of Nefariousness	3
Wretched Ghost of the Attic	3
Jinzo #7	3
Bite Shoes	3
Spear Cretin	3
Gemini Elf	3
Skelengel	3
Needle Worm	3
Penguin Soldier	3
Banisher of the Light	3
D.D. Warrior	3
Skull-Mark Ladybug	3
Enchanted Javelin	3
Negate Attack	3
Master Kyonshee	3
Poison Mummy	3
Shadow Ghoul	3
Fiend's Hand	2
The 13th Grave	2
Dokuroizo the Grim Reaper	2
Three-Legged Zombies	2
The Snake Hair	2
Witty Phantom	2
Yaranzo	2
Dokurorider	2
Dark Hole	2
Monster Reborn	2
Revival of Dokurorider	2
Magic Jammer	2
Bone Mouse	2
Pot the Trick	2
Dark Armed Dragon	2
Gorz the Emissary of Darkness	2
Burial from a Different Dimension	2
Foolish Burial	2
Bottomless Trap Hole	2
Number 11: Big Eye	2
Number 40: Gimmick Puppet of Strings	2
Dark Ruler Ha Des	2
Allure of Darkness	2
One Day of Peace	2
Swords of Revealing Light	2
Mage Power	2
United We Stand	2
Mirror Force	2
Clown Zombie	1
Fire Reaper	1
Armored Zombie	1
Graveyard and the Hand of Invitation	1
Blue-Eyed Silver Zombie	1
Wood Remains	1
Trial of Nightmare	1
Temple of Skulls	1
Magical Ghost	1
King of Yamimakai	1
Castle of Dark Illusions	1
Pumpking the King of Ghosts	1
Change of Heart	1
Wasteland	1
Shadow Spell	1
Mask of Darkness	1
Jowgen the Spiritualist	1
Bolt Escargot	1
Curtain of the Dark Ones	1
Droll Bird	1
Earthbound Spirit	1
Eyearmor	1
Ganigumo	1
Hinotama Soul	1
Hitodenchak	1
Hyozanryu	1
LaLa Li-oon	1
Lucky Trinket	1
Madjinn Gunn	1
Mikazukinoyaiba	1
Misairuzame	1
Petit Dragon	1
Phantom Ghost	1
Prevent Rat	1
Steel Ogre Grotto #1	1
Winged Egg of New Life	1
Zarigun	1
Slate Warrior	1
Sinister Serpent	1
Morphing Jar	1
Seven Tools of the Bandit	1
Hane-Hane	1
Malevolent Nuzzler	1
