card_name	count
Blast Sphere	18
7 Completed	16
Barrel Dragon	14
Machine Conversion Factory	12
Metalmorph	10
Pendulum Machine	9
Mechanicalchaser	9
Time Machine	9
Slot Machine	8
Zera Ritual	8
Zoa	6
Patrol Robo	6
Black Salvo	6
Dark Room of Nightmare	6
Messenger of Peace	6
Poison of the Old Man	6
Dimension Wall	6
Magic Cylinder	6
Zoma the Spirit	6
Unicycular	6
Bicular	6
Manju of the Ten Thousand Hands	6
Tricular	6
Bowganian	5
Stop Defense	5
Zera the Mant	5
Adhesive Explosive	5
Launcher Spider	4
Metalzoa	4
Ryu-Kishin Powered	4
Cannon Soldier	4
Cardcar D	4
Chain Strike	4
Chain Detonation	4
Jar of Greed	4
Lightning Warrior	4
Tin Goldfish	4
Limiter Removal	4
Tribute Doll	4
Clown Zombie	3
Holograh	3
D. Human	3
Brave Scizzar	3
Disk Magician	3
Tremendous Fire	3
Monster Reborn	3
Dharma Cannon	3
Megirus Light	3
Yaiba Robo	3
Giga-Tech Wolf	3
Metal Fish	3
Mask of Darkness	3
Infinite Dismissal	3
Scapegoat	3
Overdrive	3
Gamble	3
Blowback Dragon	3
Reflect Bounder	3
Gatling Dragon	3
Megamorph	2
Ryu-Kishin	2
Whiptail Crow	2
Pot of Greed	2
Change of Heart	2
Shadow Spell	2
Marshmallon	2
Mystical Space Typhoon	2
Mirror Force	2
Secret Barrel	2
Bat	2
Gatekeeper	2
Giganto	2
Ground Attacker Bugroth	2
Sword Slasher	2
Gradius	2
Robotic Knight	2
Gear Golem the Moving Fortress	2
Sangan	2
Fissure	2
Cyber-Tech Alligator	2
Guardian of the Throne Room	2
Oni Tank T-34	2
Premature Burial	2
Trap Hole	2
Roulette Barrel	2
Satellite Cannon	1
Dark Hole	1
Raigeki	1
Dian Keto the Cure Master	1
Swords of Revealing Light	1
Widespread Ruin	1
Torrential Tribute	1
Yami	1
Anti Raigeki	1
Seiyaryu	1
Machine King	1
The Winged Dragon of Ra - Sphere Mode	1
Brain Control	1
Widespread Dud	1
Biofalcon	1
Physical Double	1
Puzzle Reborn	1
Ritual Buster	1
Acrobat Monkey	1
Contract with the Abyss	1
Dark Factory of Mass Production	1
Graceful Charity	1
Akihiron	1
Ancient Tool	1
Blocker	1
Dokuroizo the Grim Reaper	1
Gaia The Fierce Knight	1
Living Vase	1
Shovel Crusher	1
Snatch Steal	1
Snipe Hunter	1
Overload Fusion	1
Polymerization	1
Power Bond	1
Call of the Haunted	1
Fairy Box	1
Needle Wall	1
Sakuretsu Armor	1
