name	main	side	extra	total	main_weighted	side_weighted	extra_weighted	total_weighted
4-Starred Ladybug of Doom	0	1	0	1	0	1	0	1
Abyss Soldier	3	0	0	3	3	0	0	3
Amazoness Archer	0	3	0	3	0	3	0	3
Ancient Gear Cannon	3	0	0	3	3	0	0	3
Ancient Gear Drill	3	0	0	3	3	0	0	3
Ancient Gear Soldier	2	0	0	2	2	0	0	2
Apprentice Magician	2	0	0	2	3	0	0	3
Aqua Dragon	0	0	1	0	0	0	1	0
Asura Priest	5	1	0	6	5	1	0	6
Back to Square One	1	0	0	1	1	0	0	1
Banisher of the Radiance	2	9	0	11	2	9	0	11
Barrel Behind the Door	0	2	0	2	0	2	0	2
Barrel Dragon	1	0	0	1	1	0	0	1
Bazoo the Soul-Eater	11	0	0	11	11	0	0	11
Bickuribox	0	0	3	0	0	0	3	0
Black Skull Dragon	0	0	5	0	0	0	5	0
Blowback Dragon	3	1	0	4	3	1	0	4
Blue-Eyes Ultimate Dragon	0	0	24	0	0	0	24	0
Book of Life	2	0	0	2	2	0	0	2
Book of Moon	44	2	0	46	132	6	0	138
Bottomless Trap Hole	31	45	0	76	31	45	0	76
Brain Control	80	14	0	94	80	14	0	94
Breaker the Magical Warrior	66	2	0	68	198	6	0	204
Broww, Huntsman of Dark World	3	0	0	3	3	0	0	3
Call of the Haunted	53	0	0	53	159	0	0	159
Card Destruction	15	0	0	15	45	0	0	45
Card of Safe Return	3	0	0	3	3	0	0	3
Ceasefire	2	1	0	3	6	3	0	9
Chain Destruction	0	1	0	1	0	1	0	1
Charubin the Fire Knight	0	0	3	0	0	0	3	0
Chimeratech Overdragon	0	0	131	0	0	0	131	0
Chiron the Mage	1	2	0	3	1	2	0	3
Cipher Soldier	0	12	0	12	0	12	0	12
Compulsory Evacuation Device	1	0	0	1	1	0	0	1
Confiscation	64	1	0	65	192	3	0	195
Creature Swap	11	0	0	11	16.5	0	0	16.5
Cursed Seal of the Forbidden Spell	0	2	0	2	0	2	0	2
Cyber Blader	0	0	14	0	0	0	14	0
Cyber Dragon	188	21	0	209	188	21	0	209
Cyber End Dragon	0	0	94	0	0	0	94	0
Cyber Ogre 2	0	0	6	0	0	0	6	0
Cyber Phoenix	42	0	0	42	42	0	0	42
Cyber Saurus	0	0	3	0	0	0	3	0
Cyber Twin Dragon	0	0	97	0	0	0	97	0
Cyberdark Dragon	0	0	4	0	0	0	4	0
Cybernetic Magician	1	0	0	1	1	0	0	1
D.D. Assailant	14	12	0	26	42	36	0	78
D.D. Designator	0	1	0	1	0	1	0	1
D.D. Survivor	0	3	0	3	0	3	0	3
D.D. Warrior	18	0	0	18	18	0	0	18
D.D. Warrior Lady	49	1	0	50	147	3	0	150
D.D.M. - Different Dimension Master	1	0	0	1	1	0	0	1
Dark Balter the Terrible	0	0	38	0	0	0	38	0
Dark Blade the Dragon Knight	0	0	23	0	0	0	23	0
Dark Dust Spirit	0	2	0	2	0	2	0	2
Dark Flare Knight	0	0	2	0	0	0	2	0
Dark Magician of Chaos	8	0	0	8	24	0	0	24
Dark Mimic LV3	1	0	0	1	1	0	0	1
Dark Necrofear	1	0	0	1	1	0	0	1
Dark Paladin	0	0	3	0	0	0	3	0
Dark Ruler Ha Des	1	0	0	1	1	0	0	1
Dark Scorpion - Cliff the Trap Remover	2	0	0	2	2	0	0	2
Dark Scorpion - Meanae the Thorn	2	0	0	2	2	0	0	2
Dark World Lightning	22	1	0	23	22	1	0	23
Darkfire Dragon	0	0	9	0	0	0	9	0
Deck Devastation Virus	3	6	0	9	4.5	9	0	13.5
Dekoichi the Battlechanted Locomotive	96	3	0	99	96	3	0	99
Des Wombat	0	46	0	46	0	46	0	46
Dimension Fusion	18	0	0	18	18	0	0	18
Dimension Wall	12	0	0	12	12	0	0	12
Dimensional Fissure	0	5	0	5	0	5	0	5
Don Zaloog	11	1	0	12	11	1	0	12
Double Snare	0	2	0	2	0	2	0	2
Dragged Down into the Grave	3	0	0	3	3	0	0	3
Dragon Master Knight	0	0	1	0	0	0	1	0
Dragoness the Wicked Knight	0	0	18	0	0	0	18	0
Drillroid	2	2	0	4	2	2	0	4
Dust Tornado	8	107	0	115	8	107	0	115
Elemental HERO Flame Wingman	0	0	13	0	0	0	13	0
Elemental HERO Shining Flare Wingman	0	0	1	0	0	0	1	0
Elemental HERO Thunder Giant	0	0	1	0	0	0	1	0
Elemental HERO Wild Wingman	0	0	3	0	0	0	3	0
Elemental HERO Wildheart	9	2	0	11	9	2	0	11
Emergency Provisions	0	1	0	1	0	1	0	1
Enemy Controller	38	15	0	53	38	15	0	53
Exchange	0	1	0	1	0	1	0	1
Exiled Force	38	16	0	54	57	24	0	81
Fiend Skull Dragon	0	0	22	0	0	0	22	0
Final Attack Orders	0	1	0	1	0	1	0	1
Fissure	4	0	0	4	4	0	0	4
Five-Headed Dragon	0	0	5	0	0	0	5	0
Flame Ghost	0	0	6	0	0	0	6	0
Flame Swordsman	0	0	15	0	0	0	15	0
Fusilier Dragon, the Dual-Mode Beast	3	1	0	4	3	1	0	4
Fusionist	0	0	3	0	0	0	3	0
Future Fusion	20	2	0	22	60	6	0	66
Gaia the Dragon Champion	0	0	9	0	0	0	9	0
Gatling Dragon	0	0	36	0	0	0	36	0
Giant Orc	3	0	0	3	3	0	0	3
Giant Rat	32	0	0	32	32	0	0	32
Giant Trunade	26	8	0	34	39	12	0	51
Gigantes	5	0	0	5	5	0	0	5
Giltia the D. Knight	0	0	3	0	0	0	3	0
Goblin Attack Force	2	0	0	2	2	0	0	2
Goblin Elite Attack Force	8	0	0	8	8	0	0	8
Goldd, Wu-Lord of Dark World	22	2	0	24	22	2	0	24
Graceful Charity	74	0	0	74	222	0	0	222
Granmarg the Rock Monarch	0	1	0	1	0	1	0	1
Gravekeeper's Guard	1	0	0	1	1	0	0	1
Gravekeeper's Spy	94	15	0	109	94	15	0	109
Gravekeeper's Watcher	4	15	0	19	4	15	0	19
Gravity Bind	3	8	0	11	9	24	0	33
Green Gadget	25	0	0	25	25	0	0	25
Gyaku-Gire Panda	2	0	0	2	2	0	0	2
Hammer Shot	2	0	0	2	2	0	0	2
Hand of Nephthys	0	2	0	2	0	2	0	2
Heavy Storm	72	2	0	74	216	6	0	222
Horus the Black Flame Dragon LV4	3	0	0	3	3	0	0	3
Horus the Black Flame Dragon LV6	3	0	0	3	3	0	0	3
Horus the Black Flame Dragon LV8	1	0	0	1	1	0	0	1
Humanoid Worm Drake	0	0	3	0	0	0	3	0
Hydrogeddon	21	9	0	30	21	9	0	30
Inaba White Rabbit	0	2	0	2	0	2	0	2
Indomitable Fighter Lei Lei	1	0	0	1	1	0	0	1
Injection Fairy Lily	21	0	0	21	63	0	0	63
Instant Fusion	2	0	0	2	2	0	0	2
Jar of Greed	57	1	0	58	57	1	0	58
Jinzo	39	15	0	54	117	45	0	162
Judgment of Anubis	1	0	0	1	1	0	0	1
Just Desserts	3	0	0	3	3	0	0	3
Karbonala Warrior	0	0	1	0	0	0	1	0
King Dragun	0	0	25	0	0	0	25	0
King Tiger Wanghu	0	13	0	13	0	13	0	13
Kuriboh	0	4	0	4	0	4	0	4
Kycoo the Ghost Destroyer	1	8	0	9	1	8	0	9
Last Will	16	2	0	18	48	6	0	54
Legendary Jujitsu Master	5	40	0	45	5	40	0	45
Level Limit - Area B	2	1	0	3	6	3	0	9
Lightning Vortex	1	7	0	8	1	7	0	8
Limiter Removal	17	1	0	18	51	3	0	54
Magic Cylinder	5	2	0	7	15	6	0	21
Magical Mallet	1	0	0	1	1	0	0	1
Magical Merchant	12	0	0	12	12	0	0	12
Magician of Faith	41	7	0	48	123	21	0	144
Maharaghi	3	0	0	3	3	0	0	3
Mask of Darkness	1	0	0	1	3	0	0	3
Mask of Restrict	0	7	0	7	0	7	0	7
Master of Oz	0	0	9	0	0	0	9	0
Messenger of Peace	1	0	0	1	1	0	0	1
Metal Dragon	0	0	1	0	0	0	1	0
Metamorphosis	0	2	0	2	0	6	0	6
Mind Control	0	1	0	1	0	1	0	1
Mind Crush	1	40	0	41	1	40	0	41
Mirror Force	72	2	0	74	216	6	0	222
Mobius the Frost Monarch	24	56	0	80	24	56	0	80
Mokey Mokey King	0	0	4	0	0	0	4	0
Monster Gate	3	0	0	3	3	0	0	3
Monster Reincarnation	1	0	0	1	1	0	0	1
Morphing Jar	18	0	0	18	54	0	0	54
Mother Grizzly	5	0	0	5	5	0	0	5
My Body as a Shield	0	4	0	4	0	4	0	4
Mystic Box	3	0	0	3	3	0	0	3
Mystic Swordsman LV2	8	4	0	12	8	4	0	12
Mystic Tomato	40	0	0	40	40	0	0	40
Mystical Space Typhoon	62	5	0	67	186	15	0	201
Mystik Wok	0	13	0	13	0	13	0	13
Night Assailant	14	0	0	14	42	0	0	42
Nightmare Penguin	1	0	0	1	1	0	0	1
Nightmare's Steelcage	3	1	0	4	3	1	0	4
Ninja Grandmaster Sasuke	0	4	0	4	0	4	0	4
Nobleman of Crossout	47	15	0	62	141	45	0	186
Nobleman of Extermination	0	2	0	2	0	2	0	2
Ojama King	0	0	20	0	0	0	20	0
Ojama Trio	3	0	0	3	3	0	0	3
Old Vindictive Magician	2	0	0	2	2	0	0	2
Overload Fusion	41	4	0	45	41	4	0	45
Pikeru's Circle of Enchantment	0	2	0	2	0	2	0	2
Pot of Avarice	16	1	0	17	48	3	0	51
Premature Burial	62	1	0	63	186	3	0	189
Pyramid Turtle	3	0	0	3	3	0	0	3
Rabid Horseman	0	0	3	0	0	0	3	0
Reaper on the Nightmare	0	0	25	0	0	0	25	0
Reasoning	3	0	0	3	3	0	0	3
Reckless Greed	10	0	0	10	15	0	0	15
Red Gadget	25	0	0	25	25	0	0	25
Reinforcement of the Army	27	6	0	33	40.5	9	0	49.5
Return from the Different Dimension	13	0	0	13	13	0	0	13
Ring of Destruction	67	6	0	73	201	18	0	219
Roaring Ocean Snake	0	0	1	0	0	0	1	0
Robbin' Goblin	0	1	0	1	0	1	0	1
Royal Decree	6	58	0	64	6	58	0	64
Royal Oppression	0	4	0	4	0	4	0	4
Rush Recklessly	2	0	0	2	2	0	0	2
Ryu Kokki	2	0	0	2	2	0	0	2
Ryu Senshi	0	0	26	0	0	0	26	0
Sacred Crane	2	0	0	2	2	0	0	2
Sacred Phoenix of Nephthys	0	2	0	2	0	6	0	6
Sakuretsu Armor	42	64	0	106	42	64	0	106
Salvage	2	0	0	2	2	0	0	2
Sangan	45	1	0	46	135	3	0	138
Sasuke Samurai #3	0	1	0	1	0	1	0	1
Scapegoat	10	2	0	12	30	6	0	36
Secret Barrel	3	0	0	3	3	0	0	3
Seven Tools of the Bandit	0	3	0	3	0	3	0	3
Shrink	13	2	0	15	13	2	0	15
Sillva, Warlord of Dark World	12	0	0	12	12	0	0	12
Skill Drain	6	1	0	7	6	1	0	7
Skull Knight	0	0	3	0	0	0	3	0
Smashing Ground	54	10	0	64	54	10	0	64
Snipe Hunter	12	12	0	24	12	12	0	24
Solemn Judgment	17	8	0	25	17	8	0	25
Soul Exchange	3	5	0	8	3	5	0	8
Soul of Purity and Light	3	0	0	3	3	0	0	3
Spell Canceller	6	4	0	10	6	4	0	10
Spell Shield Type-8	0	6	0	6	0	6	0	6
Spirit Reaper	40	5	0	45	120	15	0	135
Spiritual Water Art - Aoi	3	0	0	3	3	0	0	3
St. Joan	0	0	15	0	0	0	15	0
Steamroid	0	1	0	1	0	1	0	1
Strike Ninja	1	1	0	2	1	1	0	2
Summoner of Illusions	0	2	0	2	0	2	0	2
Super Vehicroid Jumbo Drill	0	0	5	0	0	0	5	0
Susa Soldier	2	0	0	2	2	0	0	2
Swords of Revealing Light	8	12	0	20	24	36	0	60
System Down	0	13	0	13	0	13	0	13
The Creator	1	0	0	1	1	0	0	1
The End of Anubis	0	1	0	1	0	1	0	1
The Last Warrior from Another Planet	0	0	21	0	0	0	21	0
The Light - Hex-Sealed Fusion	1	0	0	1	1	0	0	1
Thestalos the Firestorm Monarch	19	6	0	25	19	6	0	25
Threatening Roar	0	65	0	65	0	65	0	65
Torrential Tribute	60	13	0	73	180	39	0	219
Trap Dustshoot	125	34	0	159	125	34	0	159
Treeborn Frog	32	0	0	32	96	0	0	96
Twin-Headed Behemoth	1	0	0	1	3	0	0	3
Twin-Headed Thunder Dragon	0	0	1	0	0	0	1	0
UFO Turtle	32	0	0	32	32	0	0	32
Ultimate Offering	5	0	0	5	15	0	0	15
Upstart Goblin	22	0	0	22	33	0	0	33
Vanity's Fiend	0	30	0	30	0	30	0	30
Waboku	0	29	0	29	0	29	0	29
Warrior Elimination	0	2	0	2	0	2	0	2
Wave-Motion Cannon	6	2	0	8	6	2	0	8
Widespread Ruin	29	5	0	34	29	5	0	34
Xing Zhen Hu	0	3	0	3	0	3	0	3
Yellow Gadget	25	0	0	25	25	0	0	25
Yomi Ship	1	0	0	1	1	0	0	1
Zaborg the Thunder Monarch	97	9	0	106	97	9	0	106
Zombyra the Dark	3	0	0	3	3	0	0	3
