card_name	count
Falchion Beta	12
Jade Knight	12
Gradius	11
Blue Thunder T-45	9
Lord British Space Fighter	9
Victory Viper XX03	9
United We Stand	9
Gradius' Option	8
Safe Zone	7
Hourglass of Life	6
Axe of Despair	6
Mystical Space Typhoon	6
Gear Gigant X	6
Starliege Paladynamo	6
Oni Tank T-34	6
Dicephoon	6
Fairy Meteor Crush	6
Graceful Dice	6
Dice Re-Roll	6
Skull Dice	6
DUCKER Mobile Cannon	6
Morphing Jar	5
The Statue of Easter Island	5
Cyclon Laser	5
Mirror Force	5
Battle Fader	5
Roulette Barrel	5
Snipe Hunter	5
Dice Jar	5
Dangerous Machine Type-6	5
Needle Wall	5
Shrink	5
Cyber Eltanin	4
Shining Angel	4
Enemy Controller	4
Limiter Removal	4
Dimensional Prison	4
Morphing Jar #2	4
Gravity Blaster	4
Machina Armored Unit	4
Wings of Wicked Flame	3
The Bewitching Phantom Thief	3
Firegrass	3
Phantom Dewan	3
Winged Cleaver	3
Thunder Kid	3
Meotoko	3
Archfiend Mirror	3
Serpent Marauder	3
Boo Koo	3
Weather Control	3
Fiend's Hand	3
Stop Defense	3
Soul of the Pure	3
Darkness Approaches	3
Machine Conversion Factory	3
Widespread Ruin	3
Shadow Spell	3
Spikebot	3
Maximum Six	3
Power Capsule	3
Lumenize	3
Delta Tri	3
Flint Lock	3
Mecha Phantom Beast Megaraptor	3
Solidarity	3
Aerial Recharge	3
Token Stampede	3
Orgoth the Relentless	2
Honest	2
Creature Swap	2
Mage Power	2
Bottomless Trap Hole	2
Strike Ninja	2
Dark Hole	2
Messenger of Peace	2
Riryoku	2
Solar Flare Dragon	2
Trigon	2
Flint	2
Flint Missile	2
Riryoku Field	2
Mecha Phantom Beast Hamstrat	2
Luminous Spark	2
The Inexperienced Spy	1
Restructer Revolution	1
Heavy Storm	1
Fake Trap	1
Raigeki	1
Gamble	1
Michizure	1
Swords of Revealing Light	1
Ambitious Gofer	1
Brain Golem	1
Dragon Laser	1
