card_name	count
Gravekeeper's Spy	14
Necrovalley	14
Gravekeeper's Priestess	11
Agido	10
Gravekeeper's Stele	10
Royal Tribute	10
Dunames Dark Witch	9
Mystical Space Typhoon	9
Gravekeeper's Descendant	9
Gravekeeper's Recruiter	9
Gravekeeper's Spear Soldier	9
Zolga	9
Gravekeeper's Guard	9
Gravekeeper's Commandant	8
Rite of Spirit	8
Dark Hole	6
Swords of Revealing Light	6
Shadow Spell	6
Cyber Jar	6
Gravekeeper's Assailant	6
Gravekeeper's Curse	6
Judgment Dragon	6
Solar Recharge	6
A Cat of Ill Omen	6
Thunder Dragon	6
Toon Table of Contents	6
Blast Held by a Tribute	6
Legacy of Yata-Garasu	6
Jar of Greed	6
Dragged Down into the Grave	6
Mystical Elf	5
Shining Angel	5
Kelbek	5
Mudora	5
The Shallow Grave	5
Gravekeeper's Servant	5
Numinous Healer	5
Imperial Tombs of Necrovalley	5
Cosmo Queen	4
Dark Elf	4
Pot of Greed	4
Gravekeeper's Cannonholder	4
Grave Lure	4
Celestia, Lightsworn Angel	4
Ehren, Lightsworn Monk	4
Garoth, Lightsworn Warrior	4
Gragonith, Lightsworn Dragon	4
Jain, Lightsworn Paladin	4
Lumina, Lightsworn Summoner	4
Lyla, Lightsworn Sorceress	4
Wulf, Lightsworn Beast	4
Ryko, Lightsworn Hunter	4
Lightsworn Sabre	4
Realm of Light	4
Glorious Illusion	4
Lightsworn Barrier	4
Morphing Jar	4
Temple of the Kings	4
Foolish Burial	4
Reasoning	4
Reload	4
Soul Release	4
Hidden Temples of Necrovalley	4
Harpie Lady	3
Kanan the Swordmistress	3
Amazon of the Seas	3
Harpie Lady Sisters	3
Elegant Egotist	3
Megamorph	3
Vishwar Randi	3
Root Water	3
Princess of Tsurugi	3
Malevolent Nuzzler	3
Hoshiningen	3
Maha Vailo	3
Axe of Despair	3
Luminous Spark	3
Mirror Force	3
Mystical Sheep #2	3
Dream Clown	3
Mystical Sheep #1	3
Gravekeeper's Chief	3
Gravekeeper's Visionary	3
Night Beam	3
Call of the Haunted	3
Fiendish Chain	3
Sakuretsu Armor	3
Ultimate Offering	3
Battle Fader	3
Michizure	3
Hiro's Shadow Scout	3
Morphing Jar #2	3
Needle Worm	3
Spirit Reaper	3
Nobleman of Crossout	3
Assault on GHQ	3
Keldo	3
Attack and Receive	3
Gravekeeper's Ambusher	3
Gravekeeper's Nobleman	3
Fire Princess	3
Nimble Momonga	3
Enchanted Javelin	3
Solemn Wishes	3
Kycoo the Ghost Destroyer	3
The End of Anubis	3
Dust Tornado	3
Nekogal #1	2
Gemini Elf	2
Maiden of the Moonlight	2
Dancing Elf	2
Laughing Flower	2
Water Element	2
Eldeen	2
Muse-A	2
Goddess of Whim	2
Obelisk the Tormentor	2
Gravedigger Ghoul	2
Heavy Storm	2
Neo the Magic Swordsman	2
Blue-Eyes White Dragon	2
Banisher of the Light	2
Raigeki	2
Monster Reborn	2
Giant Trunade	2
Metalmorph	2
Magic Jammer	2
The Judgement Hand	2
Holograh	2
Sonic Maid	2
Lady of Faith	2
Moon Envoy	2
Masaki the Legendary Swordsman	2
Fairy Dragon	2
Shining Friendship	2
Dark Witch	2
Mikazukinoyaiba	2
Goddess with the Third Eye	2
Senju of the Thousand Hands	2
Compulsory Escape Device	2
Solemn Warning	2
Aurkus, Lightsworn Druid	2
Honest	2
Jenis, Lightsworn Mender	2
Rinyan, Lightsworn Rogue	2
Shire, Lightsworn Spirit	2
Charge of the Light Brigade	2
Light Spiral	2
Vanquishing Light	2
Number 39: Utopia	2
Gyakutenno Megami	2
Effect Veiler	2
Mask of Darkness	2
Book of Taiyou	2
Cestus of Dagla	2
Upstart Goblin	2
Reckless Greed	2
Exchange of the Spirit	2
Copycat	2
Magician of Faith	2
Book of Moon	2
Level Limit - Area B	2
Gravity Bind	2
An Owl of Luck	2
Gravekeeper's Vassal	2
Gravekeeper's Watcher	2
Blessings of the Nile	2
Orion the Battle King	2
Hourglass of Courage	2
Skelengel	2
Spring of Rebirth	2
Gravekeeper's Shaman	2
Cure Mermaid	2
Kiseitai	2
Darklord Marie	2
Shine Palace	2
Life Absorbing Machine	2
Bottomless Trap Hole	2
Performance of Sword	1
Commencement Dance	1
Soul of the Pure	1
Harpie's Feather Duster	1
Change of Heart	1
Solemn Judgment	1
Horn of Heaven	1
Reverse Trap	1
Goblin Fan	1
Bad Reaction to Simochi	1
Grave Protector	1
Spell Reproduction	1
Widespread Ruin	1
Scarred Warrior	1
Night Assailant	1
Servant of Catabolism	1
Graceful Charity	1
Scapegoat	1
Soul Reversal	1
Robbin' Zombie	1
Cobraman Sakuzy	1
Graverobber's Retribution	1
Gravekeeper's Heretic	1
Charm of Shabti	1
Judgment of Anubis	1
Kuwagata α	1
Meteor Dragon	1
Water Girl	1
Wow Warrior	1
Polymerization	1
Brain Control	1
Creature Swap	1
Lightning Vortex	1
Mage Power	1
Pot of Avarice	1
Torrential Tribute	1
