card_name	count
Time Wizard	71
Alligator's Sword	51
Baby Dragon	48
Red-Eyes Black Dragon	38
Thousand Dragon	38
Polymerization	37
Axe Raider	36
Black Skull Dragon	36
Alligator's Sword Dragon	34
Zombyra the Dark	34
Summoned Skull	31
Gearfried the Iron Knight	30
Armed Ninja	27
Queen's Double	27
Goblin Attack Force	27
Spear Dragon	27
Battle Warrior	23
Panther Warrior	23
Jinzo	22
Skull Dice	21
Magical Arm Shield	21
Graceful Dice	20
Graceful Charity	19
Change of Heart	19
Scapegoat	19
Ring of Destruction	19
Mountain Warrior	18
Swordsman of Landstar	18
Jinzo #7	18
Mirror Force	17
Rocket Warrior	17
Trap Hole	16
Premature Burial	16
Ancient Jar	15
Pot the Trick	15
Monster Reborn	15
Swords of Revealing Light	15
Dark Hole	14
Gilford the Lightning	14
Marauding Captain	14
Pot of Greed	13
Hane-Hane	12
Metalmorph	12
Raigeki	11
Fusion Sage	11
Reinforcement of the Army	11
The Warrior Returning Alive	11
Sparks	10
Tiger Axe	10
Kunai with Chain	10
Graverobber	10
Mystical Space Typhoon	10
Dangerous Machine Type-6	10
Black Dragon's Chick	10
Archfiend Marmot of Nefariousness	9
Haniwa	9
Flame Viper	9
Muka Muka	9
Blue Medicine	9
Bat	9
Masked Clown	9
Eyearmor	9
Steel Scorpion	9
Swordsman from a Distant Land	9
Karakuri Spider	9
Cyber-Stein	9
Dancing Elf	9
Kagemusha of the Blue Flame	9
Magician of Faith	9
The Unhappy Maiden	9
Fairy Box	9
Gemini Elf	9
Vorse Raider	9
Archfiend Soldier	9
Mad Dog of Darkness	9
Luster Dragon #2	9
Cave Dragon	9
Giant Orc	9
Granadora	9
Spell Canceller	9
Axe of Despair	9
Torrential Tribute	9
Garoozis	8
Magic Jammer	8
Flame Swordsman	8
Heavy Storm	7
Smashing Ground	7
Red-Eyes Black Metal Dragon	7
D.D. Assailant	7
United We Stand	7
Snatch Steal	7
Slate Warrior	7
Hitotsu-Me Giant	6
Swamp Battleguard	6
Armageddon Knight	6
Jinzo - Returner	6
Meklord Emperor Wisel	6
Versago the Destroyer	6
Meteor Black Dragon	6
Boar Soldier	6
Harpie's Feather Duster	6
Megamorph	6
Flame Dancer	6
Hinotama Soul	6
Rock Ogre Grotto #1	6
Wings of Wicked Flame	6
Wolf	6
Final Flame	6
Hinotama	6
Ookazi	6
Tremendous Fire	6
Double Coston	6
D.D. Warrior	6
Needle Worm	6
Attack and Receive	6
Salamandra	5
Blue Flame Swordsman	5
Book of Moon	5
Foolish Burial	5
Little-Winguard	5
Sasuke Samurai #4	5
The Fiend Megacyber	5
Blast with Chain	5
D.D. Warrior Lady	5
Call of the Haunted	5
King of the Swamp	5
Card Destruction	5
Flame Manipulator	4
Masaki the Legendary Swordsman	4
Card Trooper	4
Crane Crane	4
Cyber Dragon	4
Dark Grepher	4
Tour Guide From the Underworld	4
Forbidden Lance	4
Copycat	4
Needle Wall	4
Kojikocy	4
Mage Power	4
The A. Forces	4
Fusion Gate	4
Heart of the Underdog	4
Bottomless Trap Hole	4
Cannon Soldier	4
Sogen	3
Kageningen	3
Torike	3
Dragon Zombie	3
Hero of the East	3
The 13th Grave	3
Blackland Fire Dragon	3
Beaver Warrior	3
Mystic Horseman	3
Battle Steer	3
Lava Battleguard	3
Sword of Dragon's Soul	3
Eatgaboon	3
Gamble	3
Sixth Sense	3
Divine Sword - Phoenix Blade	3
Lightning Blade	3
Time Machine	3
Command Knight	3
Evocator Chevalier	3
Man-Eater Bug	3
Penguin Soldier	3
Seven Tools of the Bandit	3
Creature Swap	3
Lightning Vortex	3
Nobleman of Crossout	3
Rush Recklessly	3
Shrink	3
Twister	3
Shield & Sword	2
Black Luster Soldier - Envoy of the Beginning	2
Dark Armed Dragon	2
Gorz the Emissary of Darkness	2
Jinzo - Lord	2
Summoner Monk	2
Thunder King Rai-Oh	2
Limiter Removal	2
Lavalval Chain	2
Wind-Up Zenmaines	2
Hayabusa Knight	2
Stray Lambs	2
Emergency Provisions	2
Don Zaloog	2
Fusion Sword Murasame Blade	2
Meteor Dragon	2
Fusion Recovery	2
Inferno Fire Blast	2
Pitch-Black Warwolf	2
Roulette Barrel	2
Dicephoon	2
Release Restraint	2
Supervise	2
Exarion Universe	2
Gilford the Legend	2
Black Pendant	2
Chain Energy	2
Restructer Revolution	2
Ceasefire	2
Magic Cylinder	2
Magical Thorn	2
Negate Attack	2
Cyber Jar	2
Blind Destruction	1
Exiled Force	1
Sasuke Samurai	1
Dust Tornado	1
Raigeki Break	1
Cost Down	1
Dice Jar	1
Reversal Quiz	1
Divine Knight Ishzark	1
Gearfried the Swordmaster	1
Phoenix Gearfried	1
The Legendary Fisherman	1
Instant Fusion	1
Pot of Avarice	1
Sakuretsu Armor	1
Widespread Ruin	1
