card_name	count
Elegant Egotist	40
Harpie Lady	33
Harpie Lady Sisters	29
Harpie's Pet Dragon	27
Cyber Shield	24
Harpies' Hunting Ground	23
Amazoness Archers	18
Harpie Queen	18
Harpie's Feather Duster	16
Birdface	16
Amazoness Swords Woman	15
Harpie Channeler	15
Triangle Ecstasy Spark	14
Icarus Attack	14
Magician of Faith	13
Amazoness Chain Master	13
Cyber Harpie Lady	13
Sky Scout	12
Amazoness Fighter	12
Hysteric Sign	12
Hysteric Party	12
Amazoness Archer	12
Electro-Whip	10
Mountain	10
Follow Wind	10
Faith Bird	10
Amazoness Trainee	10
Skull Red Bird	9
Swords of Revealing Light	9
Harpie Dancer	9
Mystical Space Typhoon	9
Mirror Force	8
Mirror Wall	8
Harpie Girl	8
Amazoness Sage	8
Harpie Lady 1	8
Harpie's Pet Baby Dragon	8
Queen's Double	7
Winged Dragon, Guardian of the Fortress #2	7
Dark Hole	7
Spirit of the Books	7
Gemini Elf	7
D.D. Assailant	7
Dancing Elf	6
The Unhappy Maiden	6
Rising Air Current	6
Droll Bird	6
Kurama	6
Anti-Spell Fragrance	6
Swallow's Nest	6
Amazoness Blowpiper	6
Amazoness Queen	6
Amazoness Fighting Spirit	6
Amazoness Heirloom	6
Amazoness Spellcaster	6
Amazoness Village	6
Call of the Haunted	6
D.D. Warrior Lady	6
Flying Kamakiri #1	6
Raigeki	5
Kanan the Swordmistress	5
Blue-Winged Crown	5
Pot of Greed	5
Niwatori	5
Peacock	5
Polymerization	5
Fiend Reflection #2	5
Takuhee	5
Harpie Lady Phoenix Formation	5
Solidarity	5
Compulsory Evacuation Device	5
Harpie Lady 2	5
Harpie Lady 3	5
Solomon's Lawbook	5
Witch's Apprentice	4
Snatch Steal	4
Hane-Hane	4
Wings of Wicked Flame	4
Tyhone	4
Amazoness Paladin	4
Summoner Monk	4
Tempest, Dragon Ruler of Storms	4
Harpie's Pet Phantasmal Dragon	4
Amazoness Shamanism	4
Amazoness Willpower	4
Spirit of the Harp	4
Premature Burial	4
Trap Hole	4
Key Mace	3
Milus Radiant	3
Griggle	3
Rainbow Flower	3
Tripwire Beast	3
Lesser Dragon	3
Fairy Dragon	3
Blackwing - Fane the Steel Chain	3
Change of Heart	3
Monster Reborn	3
Magic Jammer	3
Yamatano Dragon Scroll	3
Petit Dragon	3
Flame Viper	3
Little Chimera	3
Ray & Temperature	3
Princess of Tsurugi	3
Mavelus	3
Temple of Skulls	3
Shining Friendship	3
Dark Witch	3
Goddess with the Third Eye	3
Senju of the Thousand Hands	3
Eagle Eye	3
Draining Shield	3
Xing Zhen Hu	3
Phalanx Pike	3
Bottomless Trap Hole	3
Amazoness Scouts	3
Smashing Ground	3
Reload	3
Fairy Box	3
Ring of Destruction	3
Nimble Momonga	3
D.D. Crazy Beast	3
D.D. Warrior	3
Maha Vailo	3
The Bistro Butcher	3
Lady Assailant of Flames	3
Gust Fan	3
Dragon Treasure	2
Sonic Maid	2
Beautiful Headhuntress	2
Red Archery Girl	2
Witch of the Black Forest	2
Graceful Charity	2
Seven Tools of the Bandit	2
Armaill	2
One-Eyed Shield Dragon	2
Lisark	2
Dragoness the Wicked Knight	2
Wing Eagle	2
Sonic Bird	2
Acid Trap Hole	2
Tornado Bird	2
Symbol of Heritage	2
Black Pendant	2
Kunai with Chain	2
Book of Moon	2
Lightning Chidori	2
Mecha Phantom Beast Dracossack	2
The Warrior Returning Alive	2
Phoenix Wing Wind Blast	2
Three of a Kind	2
Dramatic Rescue	2
Aqua Chorus	2
Negate Attack	2
Torrential Tribute	2
Trap Jammer	2
Cosmo Queen	1
Megamorph	1
Morphing Jar	1
Invader of the Throne	1
Wall of Illusion	1
Malevolent Nuzzler	1
Crimson Sunbird	1
Goblin's Secret Remedy	1
Ookazi	1
Skullbird	1
Spell Reproduction	1
The Seal of Orichalcos	1
The Transmigration Prophecy	1
Injection Fairy Lily	1
Mage Power	1
United We Stand	1
Reinforcement of the Army	1
Queen's Pawn	1
Ansatsu	1
Blue-Eyed Silver Zombie	1
Bottom Dweller	1
Gaia The Fierce Knight	1
Humanoid Slime	1
Lunar Queen Elzaim	1
Amazon of the Seas	1
Hibikime	1
Banner of Courage	1
United Resistance	1
Man-Eater Bug	1
Penguin Soldier	1
Garuda the Wind Spirit	1
Sonic Shooter	1
Swift Birdman Joe	1
Field Barrier	1
Fissure	1
Pot of Avarice	1
Sakuretsu Armor	1
Shadow of Eyes	1
