card_name	count
Fortress Whale	23
Fortress Whale's Oath	23
The Legendary Fisherman	23
Jellyfish	23
Umi	20
Fiend Kraken	20
A Legendary Ocean	20
Amphibian Beast	19
Tornado Wall	17
Torrential Tribute	15
Flying Fish	15
Great White	14
Penguin Soldier	13
Giant Red Seasnake	13
Salvage	13
Maiden of the Aqua	13
Power of Kaishin	12
Mystical Space Typhoon	11
Surface	11
Root Water	10
Forgotten Temple of the Deep	10
White Dolphin	9
Star Boy	9
7 Colored Fish	9
The Melting Red Shadow	8
Kairyu-Shin	8
Sinister Serpent	7
Mother Grizzly	7
Change Slime	6
Haniwa	6
Turu-Purun	6
Zone Eater	6
Ooguchi	6
Ameba	6
Swords of Revealing Light	6
The Furious Sea King	6
Beastking of the Swamps	6
Takriminos	6
Wow Warrior	6
Amazon of the Seas	6
Water Omotics	6
Levia-Dragon - Daedalus	6
Terraforming	6
Mermail Abysslinde	6
Bahamut Shark	6
Number 17: Leviathan Dragon	6
Cannonball Spear Shellfish	6
Orca Mega-Fortress of Darkness	6
Torpedo Fish	6
Warrior of Atlantis	6
Pot of Greed	5
Crazy Fish	5
Fire Kraken	5
High Tide Gyojin	5
Acid Trap Hole	5
Catapult Turtle	5
Doron	4
Turtle Bird	4
Atlantean Heavy Infantry	4
Atlantean Marksman	4
Mermail Abysshilde	4
Mermail Abysspike	4
Tidal, Dragon Ruler of Waterfalls	4
Abyss Soldier	4
Manju of the Ten Thousand Hands	4
Graceful Charity	4
Steel Shell	4
Lost Blue Breaker	4
Eyearmor	3
Serpent Marauder	3
Ancient Jar	3
Flame Viper	3
Armed Ninja	3
Magician of Faith	3
Raigeki	3
Red Archery Girl	3
Seven Tools of the Bandit	3
Dorover	3
Water Element	3
Drooling Lizard	3
Beaked Snake	3
Twin Long Rods #2	3
Boneheimer	3
Ice Water	3
Sea Kamen	3
Fissure	3
Violent Rain	3
Deepsea Warrior	3
Divine Dragon Aquabizarre	3
Gold Sarcophagus	3
Poseidra, the Atlantean Dragon	3
Aegis of the Ocean Dragon Lord	3
Torrential Reborn	3
Sangan	3
Call of the Haunted	3
Raigeki Break	3
Mad Lobster	3
Advanced Ritual Art	3
The Monarchs Stormforth	3
Fenrir	3
Amphibious Bugroth MK-3	3
Granadora	3
Change of Heart	2
Dark Hole	2
Kunai with Chain	2
Magic Jammer	2
Mirror Force	2
Snatch Steal	2
Suijin	2
Mechaleon	2
Neo Aqua Madoor	2
Enchanting Mermaid	2
Polymerization	2
Abyss Warrior	2
Mermaid Archer	2
Atlantean Dragoons	2
Legendary Atlantean Tridon	2
Mermail Abyssdine	2
Mermail Abyssgunde	2
Mermail Abyssleed	2
Mermail Abyssmegalo	2
Mermail Abyssteus	2
Mermail Abyssturge	2
Moulinglacia the Elemental Lord	2
Deep Sea Diva	2
Fishborg Archer	2
Abyss-scale of Cetus	2
Abyss-scale of the Kraken	2
Abyss-scale of the Mizuchi	2
Lemuria, the Forgotten City	2
Abyss-scorn	2
Abyss-sphere	2
Abyss-squall	2
Ally of Justice Catastor	2
Armory Arm	2
Gungnir, Dragon of the Ice Barrier	2
Mermail Abyssgaios	2
Mermail Abysstrite	2
Return of the Doomed	2
Respect Play	2
Revival Jam	2
Crab Turtle	2
Ocean Dragon Lord - Neo-Daedalus	2
Axe of Despair	1
Dark Elf	1
Harpie's Feather Duster	1
Heavy Storm	1
Monster Reborn	1
Penguin Knight	1
Mech Bass	1
Spike Seadra	1
Boulder Tortoise	1
Petit Angel	1
Mystical Sheep #2	1
Hyosube	1
Mystic Lamp	1
Goblin's Secret Remedy	1
Ookazi	1
Fusionist	1
Rare Fish	1
Roaring Ocean Snake	1
Hammer Shark	1
Soul of the Pure	1
Stop Defense	1
Fish Depth Charge	1
Ring of Destruction	1
Tribe-Infecting Virus	1
Shrink	1
Lightning Vortex	1
United We Stand	1
Divine Wrath	1
Dust Tornado	1
Dharma Cannon	1
Hurricail	1
Laughing Flower	1
Megirus Light	1
Muse-A	1
Protector of the Throne	1
Roboyarou	1
Succubus Knight	1
Souls of the Forgotten	1
Toon Alligator	1
Yamadron	1
Yamatano Dragon Scroll	1
Man-Eater Bug	1
Hane-Hane	1
Trap Hole	1
