card_name	count
Newdoria	15
Swords of Revealing Light	13
Revival Jam	13
Mirror Force	13
Raigeki	12
Widespread Ruin	12
United We Stand	10
Helpoemer	9
Mystical Space Typhoon	9
Dark Hole	8
Monster Reborn	8
Viser Des	8
Spirit Reaper	8
Metal Reflect Slime	8
Nightmare Wheel	8
Threatening Roar	8
Torrential Tribute	7
Gil Garth	7
Soul Exchange	7
The Bistro Butcher	6
Humanoid Slime	6
Worm Drake	6
Makyura the Destructor	6
Man-Eater Bug	6
Rafflesia Seduction	6
Jam Breeding Machine	6
Wetlands	6
Aqua Chorus	6
Token Stampede	6
Trap Hole	6
Graceful Charity	6
A Man with Wdjat	6
Aswan Apparition	6
Emperor Sem	6
Grave Protector	6
Debunk	6
Change of Heart	5
Pot of Greed	5
Legendary Fiend	5
Call of the Haunted	5
Curse of Anubis	5
Judgment of Anubis	5
Summoned Skull	5
Dark Elf	4
Megamorph	4
The Winged Dragon of Ra	4
Harpie's Feather Duster	4
Darkfire Soldier #1	4
Soul of the Pure	4
Bowganian	4
Dark Jeroid	4
Messenger of Peace	4
Coffin Seller	4
Morphing Jar	4
Pot of Duality	4
Terraforming	4
Dark Bribe	4
Dimensional Prison	4
Magician of Faith	4
Vampire Lord	4
Snatch Steal	4
Goblin Attack Force	4
Lava Golem	4
Premature Burial	4
Robbin' Goblin	4
Big Burn	4
The End of Anubis	4
Card Destruction	4
Mechanicalchaser	3
Whiptail Crow	3
Firewing Pegasus	3
Red-Eyes Black Dragon	3
Jirai Gumo	3
Tao the Chanter	3
Rogue Doll	3
D.D. Warrior	3
Polymerization	3
Black Pendant	3
Pyramid Turtle	3
Sangan	3
Tribe-Infecting Virus	3
Book of Life	3
Call of the Mummy	3
Dust Tornado	3
Sakuretsu Armor	3
Ring of Destruction	3
Solemn Wishes	3
Ghost Knight of Jackal	3
Theban Nightmare	3
Winged Sage Falcos	3
Ghost of a Grudge	3
Golem Sentry	3
Guardian Sphinx	3
Guardian Statue	3
Legendary Jujitsu Master	3
Tackle Crusader	3
Catapult Zone	3
The Monarchs Stormforth	3
Rock Bombardment	3
Soul Drain	3
Vorse Raider	3
Chaos Emperor Dragon - Envoy of the End	3
Black Luster Soldier - Envoy of the Beginning	3
Banisher of the Light	3
Mage Power	3
Upstart Goblin	3
Sengenjin	2
Brain Control	2
Cyber-Tech Alligator	2
Byser Shock	2
Dragon Seeker	2
Des Volstgalph	2
Shadow Spell	2
Humanoid Worm Drake	2
Lekunga	2
Lord Poison	2
Obelisk the Tormentor	2
Slifer the Sky Dragon	2
Solemn Warning	2
Chthonian Alliance	2
Level Limit - Area B	2
One Day of Peace	2
Bottomless Trap Hole	2
Despair from the Dark	2
Patrician of Darkness	2
Raigeki Break	2
Mystic Tomato	2
Twin-Headed Behemoth	2
Ultimate Offering	2
Gilasaurus	2
Pharaoh's Servant	2
Pharaonic Protector	2
Mystical Knight of Jackal	2
Regenerating Mummy	2
Graverobber's Retribution	2
Transmigration Break	2
Gravekeeper's Servant	2
White Magical Hat	2
Delinquent Duo	2
Tribute to the Doomed	2
Just Desserts	2
Magic Jammer	2
Magical Thorn	2
Zoa	1
Metalzoa	1
Fiend's Mirror	1
Zera the Mant	1
Zera Ritual	1
Beastly Mirror Ritual	1
Metalmorph	1
Thousand-Eyes Idol	1
Tri-Horned Dragon	1
Cosmo Queen	1
Sanga of the Thunder	1
Kazejin	1
Suijin	1
Gate Guardian	1
Relinquished	1
Performance of Sword	1
Dokurorider	1
Garma Sword	1
Dian Keto the Cure Master	1
Commencement Dance	1
Garma Sword Oath	1
Revival of Dokurorider	1
Black Illusion Ritual	1
Fake Trap	1
Thousand-Eyes Restrict	1
De-Spell	1
Nightmare's Steelcage	1
Remove Trap	1
Vengeful Bog Spirit	1
Hidden Soldiers	1
Jam Defender	1
Marshmallon	1
Dragon Zombie	1
Exiled Force	1
Sinister Serpent	1
Witch of the Black Forest	1
Card of Safe Return	1
Lightning Vortex	1
Divine Wrath	1
Hallowed Life Barrier	1
Dark Snake Syndrome	1
Cyber Jar	1
Morphing Jar #2	1
Slate Warrior	1
Magic Cylinder	1
