card_name	count
Krokodilus	14
Man-Eating Plant	12
Man Eater	8
Darkworld Thorns	8
Toon Alligator	8
Kagetokage	8
Giant Rat	6
Mother Grizzly	6
Worm Xex	6
Worm Yagan	6
Worm Cartaros	6
Solidarity	6
Viper's Rebirth	6
Offering to the Snake Deity	6
W Nebula Meteorite	6
King of the Feral Imps	6
House of Adhesive Tape	4
Emperor of the Land and Sea	4
Gigobyte	4
Rainbow Flower	4
Attack Pheromones	4
Mark of the Rose	4
The World Tree	4
Damage = Reptile	4
Pollinosis	4
Worm King	4
Worm Queen	4
Night Beam	4
Worm Call	4
High Tide Gyojin	3
Swords of Revealing Light	3
Bat	3
Blue-Eyed Silver Zombie	3
Mystic Lamp	3
Leghul	3
Monster Eye	3
Karakuri Spider	3
Jinzo #7	3
Skelengel	3
Blue Medicine	3
Darkness Approaches	3
Bottomless Trap Hole	3
Griffore	3
Torike	3
Des Koala	3
Mushroom Man	2
Firegrass	2
Arlownay	2
Yashinoki	2
Serpent Marauder	2
Sinister Serpent	2
Barrel Lily	2
Laughing Flower	2
Mechaleon	2
Drooling Lizard	2
Abyss Flower	2
Living Vase	2
Beaked Snake	2
Snakeyashi	2
Witty Phantom	2
Mechanicalchaser	2
Skull Red Bird	2
Gemini Elf	2
Man-Eating Treasure Chest	2
Darkfire Soldier #1	2
The Immortal of Thunder	2
Dark Zebra	2
Dragon Seeker	2
Yamata Dragon	2
Tremendous Fire	2
Dragon Treasure	2
Widespread Ruin	2
Botanical Girl	2
Molting Escape	2
Worm Tentacles	2
Book of Moon	2
Pot of Duality	2
Call of the Haunted	2
Mirror Force	2
Solemn Warning	2
Dark Rabbit	2
Penguin Soldier	2
Back to Square One	2
Forest	2
Red Medicine	2
The Big March of Animals	2
Fiend Comedian	2
Vile Germs	1
Raise Body Heat	1
Fairy Dragon	1
Amazon of the Seas	1
Dark Chimera	1
Judge Man	1
Sky Dragon	1
B. Dragon Jungle King	1
Twin-Headed Fire Dragon	1
Zone Eater	1
Thunder Dragon	1
Polymerization	1
Gravedigger Ghoul	1
Aqua Dragon	1
Witch's Apprentice	1
Dimensional Prison	1
Big Koala	1
Rude Kaiser	1
Ryu-Ran	1
Copycat	1
Graceful Charity	1
Pot of Greed	1
Scapegoat	1
Stray Lambs	1
Tribute Doll	1
Adhesion Trap Hole	1
Taunt	1
Token Feastevil	1
