card_name	count
Toon World	41
Relinquished	39
Black Illusion Ritual	38
Toon Summoned Skull	32
Toon Mermaid	30
Toon Gemini Elf	23
Toon Goblin Attack Force	22
Toon Table of Contents	22
Toon Cannon Soldier	21
Toon Masked Sorcerer	20
Blue-Eyes Toon Dragon	17
Thousand-Eyes Restrict	15
Toon Dark Magician Girl	15
Nimble Momonga	13
Manju of the Ten Thousand Hands	13
Swords of Revealing Light	12
Vorse Raider	12
Thousand-Eyes Idol	11
Monster Reborn	10
Change of Heart	10
Toon Defense	10
Dark Hole	9
Mirror Force	9
Red Archery Girl	9
Senju of the Thousand Hands	9
Mystical Space Typhoon	9
Scapegoat	9
Rogue Doll	8
Manga Ryu-Ran	8
Harpie's Feather Duster	8
Preparation of Rites	8
Sonic Bird	8
Raigeki	7
Polymerization	7
Pot of Greed	7
Premature Burial	7
Enchanted Javelin	7
Numinous Healer	7
Toon Alligator	6
Dark-Eyes Illusionist	6
Battle Fader	6
Djinn Releaser of Rituals	6
Leviair the Sea Dragon	6
Toon Kingdom	6
Crystal Beast Emerald Tortoise	6
Crystal Beast Sapphire Pegasus	6
Torrential Tribute	5
Megamorph	5
Sinister Serpent	5
Mind Haxorz	5
Ultimate Offering	5
Crystal Beast Amber Mammoth	5
Crystal Beast Ruby Carbuncle	5
Crystal Beast Topaz Tiger	5
Ancient City - Rainbow Ruins	5
Crystal Blessing	5
Rare Value	5
Cyber Jar	4
Magic Jammer	4
Witch of the Black Forest	4
D.D. Assailant	4
Tour Guide From the Underworld	4
Pot of Duality	4
Safe Zone	4
Summoned Skull	4
Slate Warrior	4
Holograh	3
Binding Chain	3
Dark Rabbit	3
White Magical Hat	3
Shine Palace	3
Castle of Dark Illusions	3
Big Shield Gardna	3
Book of Moon	3
Robbin' Goblin	3
Gem-Knight Pearl	3
Call of the Haunted	3
Spirit Barrier	3
The Huge Revolution is Over	3
Magical Exemplar	3
Magical Undertaker	3
Tsukuyomi	3
Instant Fusion	3
Metamorphosis	3
Dark Illusion	3
Snatch Steal	3
Magic Cylinder	3
Mirror Wall	3
Ring of Destruction	3
Crystal Beast Amethyst Cat	3
Crystal Beacon	3
Dragon Queen of Tragic Endings	3
Debris Dragon	3
Black Rose Dragon	3
Wattkid	2
Lady of Faith	2
Moon Envoy	2
Illusionist Faceless Mage	2
Parrot Dragon	2
Jigen Bakudan	2
Dragon Piper	2
Dragon Capture Jar	2
Graceful Charity	2
Solemn Judgment	2
Time Machine	2
Tremendous Fire	2
Bottomless Trap Hole	2
Black Luster Soldier - Envoy of the Beginning	2
D.D. Warrior Lady	2
Gorz the Emissary of Darkness	2
Allure of Darkness	2
Daigusto Emeral	2
Number 85: Crazy Box	2
Dark Bribe	2
Destruction Jammer	2
Judgment of Anubis	2
Sakuretsu Armor	2
Emergency Provisions	2
Fusion Gate	2
Royal Decree	2
Contract with the Abyss	2
Morphing Jar	2
Big Bang Shot	2
Shrink	2
Crystal Beast Cobalt Eagle	2
Hamon, Lord of Striking Thunder	2
Kuraz the Light Monarch	2
Crystal Abundance	2
Crystal Release	2
Crystal Tree	2
Burden of the Mighty	2
Dragon's Rage	2
Trap Jammer	2
Fairy Dragon	1
Fake Trap	1
Ryu-Ran	1
Gorgon's Eye	1
Cost Down	1
Vengeful Bog Spirit	1
Gagagigo the Risen	1
Solemn Wishes	1
Reshef the Dark Being	1
Opti-Camouflage Armor	1
Dandylion	1
Spirit Reaper	1
Fiend's Sanctuary	1
Fissure	1
Smashing Ground	1
Dimensional Prison	1
Rescue Cat	1
Terraforming	1
Nobleman of Crossout	1
Crystal Raigeki	1
Trap Stun	1
