card_name	count
Left Arm of the Forbidden One	17
Left Leg of the Forbidden One	17
Right Arm of the Forbidden One	17
Right Leg of the Forbidden One	17
Exodia the Forbidden One	11
Pot of Greed	10
Graceful Charity	9
Sangan	9
Witch of the Black Forest	8
Gear Golem the Moving Fortress	8
Stone Statue of the Aztecs	8
Upstart Goblin	8
Jar of Greed	8
Three-Headed Geedo	7
Hannibal Necromancer	7
Skelengel	6
Swords of Revealing Light	6
Goddess of Whim	6
Dark Hole	5
Mirror Force	5
Mystic Tomato	4
Cannon Soldier	3
Magician of Faith	3
Penguin Soldier	3
Skull Servant	3
Ancient Jar	3
Thousand-Eyes Idol	3
Zone Eater	3
Swordsman from a Distant Land	3
Monster Eye	3
Queen's Double	3
Dark-Eyes Illusionist	3
Shovel Crusher	3
Hard Armor	3
Wood Clown	3
Mysterious Puppeteer	3
Yaranzo	3
Thunder Dragon	3
Dark Factory of Mass Production	3
Foolish Burial	3
Toon Table of Contents	3
Trap Hole	3
Big Eye	2
Change of Heart	2
Giant Trunade	2
Negate Attack	2
Raigeki	2
Ooguchi	2
Royal Magical Library	2
Last Will	2
Legacy of Yata-Garasu	2
Giant Soldier of Stone	1
Harpie's Feather Duster	1
Horn of Heaven	1
Magic Jammer	1
Seven Tools of the Bandit	1
Toon Cannon Soldier	1
Painful Choice	1
Time Machine	1
Monster Reborn	1
Backup Soldier	1
Torrential Tribute	1
