name	main	side	extra	total	main_weighted	side_weighted	extra_weighted	total_weighted
A Cat of Ill Omen	2	1	0	3	2	1	0	3
Abyss Soldier	2	0	0	2	3	0	0	3
Acid Trap Hole	1	0	0	1	1	0	0	1
Airknight Parshath	8	3	0	11	8	3	0	11
Amazoness Archer	0	2	0	2	0	2	0	2
Amazoness Swords Woman	0	3	0	3	0	3	0	3
Apprentice Magician	12	0	0	12	12	0	0	12
Aqua Spirit	6	0	0	6	6	0	0	6
Armed Dragon LV3	2	0	0	2	2	0	0	2
Armed Dragon LV5	2	0	0	2	2	0	0	2
Armed Dragon LV7	2	0	0	2	2	0	0	2
Asura Priest	0	1	0	1	0	1	0	1
Bait Doll	1	1	0	2	1	1	0	2
Barrel Behind the Door	0	3	0	3	0	3	0	3
Bazoo the Soul-Eater	58	6	0	64	58	6	0	64
Berserk Gorilla	3	11	0	14	3	11	0	14
Bickuribox	0	0	6	0	0	0	6	0
Big Burn	0	1	0	1	0	1	0	1
Big Shield Gardna	3	0	0	3	3	0	0	3
Big-Tusked Mammoth	0	1	0	1	0	1	0	1
Black Illusion Ritual	4	0	0	4	4	0	0	4
Black Skull Dragon	0	0	1	0	0	0	1	0
Blade Knight	12	4	0	16	12	4	0	16
Blast with Chain	3	1	0	4	3	1	0	4
Blowback Dragon	7	1	0	8	7	1	0	8
Blue-Eyes Ultimate Dragon	0	0	105	0	0	0	105	0
Book of Life	17	0	0	17	17	0	0	17
Book of Moon	116	15	0	131	348	45	0	393
Bottomless Trap Hole	93	42	0	135	93	42	0	135
Brain Control	115	19	0	134	115	19	0	134
Breaker the Magical Warrior	184	7	0	191	552	21	0	573
Broww, Huntsman of Dark World	0	1	0	1	0	1	0	1
Byser Shock	1	0	0	1	1	0	0	1
Call of the Haunted	120	1	0	121	360	3	0	363
Cannon Soldier	6	0	0	6	6	0	0	6
Card Destruction	9	1	0	10	27	3	0	30
Ceasefire	9	26	0	35	27	78	0	105
Chain Disappearance	0	25	0	25	0	25	0	25
Chain Energy	6	0	0	6	6	0	0	6
Chaos Sorcerer	92	16	0	108	92	16	0	108
Charubin the Fire Knight	0	0	4	0	0	0	4	0
Chiron the Mage	2	10	0	12	2	10	0	12
Chthonian Blast	0	1	0	1	0	1	0	1
Cipher Soldier	4	83	0	87	4	83	0	87
Cold Wave	25	3	0	28	25	3	0	28
Compulsory Evacuation Device	16	3	0	19	16	3	0	19
Confiscation	139	18	0	157	417	54	0	471
Creature Swap	89	33	0	122	133.5	49.5	0	183
Cursed Seal of the Forbidden Spell	0	12	0	12	0	12	0	12
Cyber Blader	0	0	52	0	0	0	52	0
