card_name	count
Two-Headed King Rex	23
Crawling Dragon #2	20
Raise Body Heat	19
Sword Arm of Dragon	17
Megazowler	16
Uraby	14
Trakodon	13
Little D	13
Polymerization	13
Tomozaurus	12
Wasteland	12
Bracchio-raidus	12
Fairy Dragon	9
Mad Sword Beast	9
Lesser Dragon	8
Two-Mouth Darkruler	6
Ancient Jar	6
Haniwa	6
Swordsman from a Distant Land	6
Queen's Double	6
Muka Muka	6
Giant Rat	6
Pot of Greed	6
Petit Dragon	6
Swords of Revealing Light	6
Flame Viper	5
Blackland Fire Dragon	5
Destroyer Golem	5
Minomushi Warrior	5
Serpent Night Dragon	5
Acid Trap Hole	5
Gilasaurus	5
Red-Eyes Black Dragon	4
One-Eyed Shield Dragon	4
Firegrass	4
The Statue of Easter Island	4
Tyhone	4
Larvas	3
Synchar	3
Anthrosaurus	3
Beaked Snake	3
Beast Fangs	3
Mystery Hand	3
Mech Mole Zombie	3
Korogashi	3
Pot the Trick	3
Leghul	3
Giant Soldier of Stone	3
Magician of Faith	3
Dark Hole	3
Change of Heart	3
Snatch Steal	3
Eyearmor	3
Nightmare Scorpion	3
Steel Scorpion	3
Karakuri Spider	3
Blue Medicine	3
Fake Trap	3
Yamatano Dragon Scroll	3
Wicked Dragon with the Ersatz Head	3
Yormungarde	3
Darkfire Dragon	3
Harpie's Feather Duster	3
Barrel Rock	3
Sky Dragon	3
Ookazi	3
Trap Hole	3
Pragtical	2
Twin-Headed Fire Dragon	2
Witch of the Black Forest	2
Raigeki	2
Graceful Charity	2
Monster Reborn	2
Mystical Space Typhoon	2
Koumori Dragon	2
Megamorph	2
Red Medicine	2
Eatgaboon	2
House of Adhesive Tape	2
Jar of Greed	2
Negate Attack	2
Adhesion Trap Hole	2
Swordsman of Landstar	2
Dark Gray	1
Dragon Zombie	1
Summoned Skull	1
Heavy Storm	1
Mirror Force	1
Magic Jammer	1
Goblin Fan	1
Bad Reaction to Simochi	1
Stone Dragon	1
Goblin's Secret Remedy	1
Stim-Pack	1
Abyss Flower	1
Armaill	1
Battle Warrior	1
Cyber Commander	1
Djinn the Watcher of the Wind	1
Gate Deeg	1
Graveyard and the Hand of Invitation	1
Hercules Beetle	1
Kumootoko	1
Launcher Spider	1
Meda Bat	1
Mega Thunderball	1
Megasonic Eye	1
Mikazukinoyaiba	1
Mystical Capture Chain	1
Obese Marmot of Nefariousness	1
Ocubeam	1
Spiked Snail	1
Tenderness	1
The Drdek	1
Trent	1
Turtle Raccoon	1
Ryu-Kishin	1
Hero of the East	1
Wood Clown	1
Stone Armadiller	1
Wing Egg Elf	1
Holograh	1
Dark Bat	1
Spirit of the Harp	1
Armored Starfish	1
Snakeyashi	1
Cyber-Tech Alligator	1
Man-Eater Bug	1
Hane-Hane	1
Penguin Soldier	1
Card Destruction	1
Torrential Tribute	1
Seven Tools of the Bandit	1
