card_name	count
Blue-Eyes White Dragon	62
Vorse Raider	47
Blue-Eyes Ultimate Dragon	30
Polymerization	26
Call of the Haunted	21
X-Head Cannon	20
La Jinn the Mystical Genie of the Lamp	19
Negate Attack	19
Ancient Lamp	16
Y-Dragon Head	16
Z-Metal Tank	16
Megamorph	15
Shining Angel	15
Burst Stream of Destruction	15
Giant Germ	15
Monster Reborn	13
Shrink	13
The White Stone of Legend	13
Hitotsu-Me Giant	12
Mystic Horseman	12
Heavy Storm	12
Enemy Controller	12
Crush Card Virus	11
Ring of Destruction	11
Spirit Reaper	11
Cyber-Tech Alligator	11
Saggi the Dark Clown	10
Battle Ox	10
Mystical Space Typhoon	10
Obelisk the Tormentor	10
Shadow Spell	10
Maiden with Eyes of Blue	10
Silver's Cry	10
The Wicked Worm Beast	9
Graceful Charity	9
Mirror Force	9
Sangan	9
Peten the Dark Clown	9
Dragon's Mirror	9
Goblin Attack Force	9
Spear Dragon	9
Soul Exchange	8
Luster Dragon #2	8
Kaibaman	8
Dragon Shrine	8
Premature Burial	8
Dark Factory of Mass Production	8
Cyber-Stein	7
Pot of Greed	7
Gilasaurus	7
Kaiser Sea Horse	7
Ryu-Kishin	6
Grappler	6
Ryu-Kishin Powered	6
Swords of Revealing Light	6
Blade Knight	6
Cloning	6
King of the Swamp	6
Interdimensional Matter Transporter	6
Roll Out!	6
XYZ-Dragon Cannon	6
Azure-Eyes Silver Dragon	6
Brain Control	6
Magician of Faith	6
The Melody of Awakening Dragon	6
Archfiend Soldier	6
Big Bang Shot	6
Birthright	6
Judge Man	5
Change of Heart	5
Harpie's Feather Duster	5
Magic Jammer	5
Nimble Momonga	5
Raigeki	5
Widespread Ruin	5
Torrential Tribute	5
Versago the Destroyer	5
Silent Doom	5
XY-Dragon Cannon	5
XZ-Tank Cannon	5
YZ-Tank Dragon	5
Dust Tornado	5
Lightning Vortex	5
Mask of Darkness	5
Dragon Treasure	4
Rabid Horseman	4
Dark Hole	4
Lord of D.	4
Dragon Master Knight	4
Twin-Headed Behemoth	4
Ancient Rules	4
Rabidragon	4
Decoy Dragon	4
Parsec, the Interstellar Dragon	4
Radius, the Half-Moon Dragon	4
Totem Dragon	4
Vanguard of the Dragon	4
Flamvell Guard	4
Rider of the Storm Winds	4
Stamping Destruction	4
Slate Warrior	4
Castle of Dragon Souls	4
Trap Hole	4
Gyakutenno Megami	3
Hinotama	3
Hoshiningen	3
Koumori Dragon	3
Sinister Serpent	3
Snatch Steal	3
Lesser Dragon	3
Fairy Dragon	3
Dark Energy	3
Legendary Sword	3
Kaiser Glider	3
Combination Attack	3
Final Attack Orders	3
D.D. Warrior Lady	3
Cost Down	3
Fiend's Sanctuary	3
Trap Jammer	3
Raigeki Break	3
Sakuretsu Armor	3
The Transmigration Prophecy	3
King Dragun	3
Mad Dog of Darkness	3
Enchanted Javelin	3
Soul of Purity and Light	3
Smashing Ground	3
Gold Sarcophagus	3
Swordstalker	2
Steel Ogre Grotto #2	2
Invitation to a Dark Sleep	2
Cyber Jar	2
Sebek's Blessing	2
Twin-Headed Fire Dragon	2
Witch of the Black Forest	2
Tyhone #2	2
Des Feral Imp	2
Fusion Sage	2
Different Dimension Dragon	2
Cards of Consonance	2
Dragon's Rebirth	2
Hieratic Sun Dragon Overlord of Heliopolis	2
Thunder End Dragon	2
Dark Mirror Force	2
Dragon's Rage	2
Shine Knight	2
Soul Resurrection	2
Enraged Battle Ox	2
Chaos Emperor Dragon - Envoy of the End	2
Copycat	2
Kycoo the Ghost Destroyer	2
Different Dimension Capsule	2
Upstart Goblin	2
Luminous Spark	2
Destruction Ring	2
Formation Union	2
Divine Dragon Ragnarok	2
Senet Switch	2
Barrel Dragon	2
Magic Cylinder	2
Hane-Hane	2
Card Destruction	2
The Dark - Hex-Sealed Fusion	2
Wall of Illusion	2
The Light - Hex-Sealed Fusion	2
Hyozanryu	1
Solemn Judgment	1
Winged Dragon, Guardian of the Fortress #1	1
Mountain	1
Anti Raigeki	1
Kaiser Dragon	1
Des Volstgalph	1
Ring of Defense	1
D.D. Warrior	1
A Wingbeat of Giant Dragon	1
De-Spell	1
Mesmeric Control	1
United Front	1
Return from the Different Dimension	1
Gear Golem the Moving Fortress	1
De-Fusion	1
Fusion Gate	1
Monster Reincarnation	1
Reflect Bounder	1
Maha Vailo	1
Frontline Base	1
Machine Conversion Factory	1
Blue-Eyes Shining Dragon	1
Jinzo	1
Beast of Talwar	1
Man-Eater Bug	1
Penguin Soldier	1
Black Luster Soldier - Envoy of the Beginning	1
Mage Power	1
United We Stand	1
Seven Tools of the Bandit	1
D.D. Assailant	1
Gravekeeper's Spy	1
Giant Trunade	1
Mystic Plasma Zone	1
Nobleman of Crossout	1
Scapegoat	1
Shield Crush	1
Stray Lambs	1
Ultimate Offering	1
