card_name	count
Manju of the Ten Thousand Hands	12
Sonic Bird	12
End of the World	12
Millennium Golem	9
Sengenjin	8
Change of Heart	8
Megamorph	8
Mystical Space Typhoon	7
Advanced Ritual Art	7
Needle Worm	6
Alexandrite Dragon	6
Luster Dragon	6
Blaster, Dragon Ruler of Infernos	6
Tempest, Dragon Ruler of Storms	6
Demise, King of Armageddon	6
Contract with the Abyss	6
Destroyer Golem	6
Giant Soldier of Stone	6
Senju of the Thousand Hands	6
Ruin, Queen of Oblivion	6
Monster Reborn	5
Royal Decree	5
Raigeki	4
Dark Hole	4
Pot of Greed	4
Swords of Revealing Light	4
Lightning Chidori	4
Starliege Paladynamo	4
Barrel Rock	4
Double Summon	4
Aqua Madoor	3
Mechanicalchaser	3
Giant Red Seasnake	3
Guardian of the Throne Room	3
Garnecia Elefantis	3
Maha Vailo	3
The Bistro Butcher	3
Penumbral Soldier Lady	3
Lord of Zemia	3
La Jinn the Mystical Genie of the Lamp	3
Orion the Battle King	3
Magician of Faith	3
Gemini Elf	3
Cosmo Queen	3
Dark Elf	3
Flash Assailant	3
Boar Soldier	3
Magician of Black Chaos	3
Harpie's Feather Duster	3
Black Magic Ritual	3
Torrential Tribute	3
Rescue Rabbit	3
White Elephant's Gift	3
Vorse Raider	3
Goblin Attack Force	3
Black Pendant	3
Attack and Receive	3
Trap Hole	3
Shadow Spell	2
Banisher of the Light	2
Reaper of the Cards	2
Anti Raigeki	2
Mirror Force	2
Magic Jammer	2
Seven Tools of the Bandit	2
Gorz the Emissary of Darkness	2
Night Beam	2
Mecha Phantom Beast Dracossack	2
Number 11: Big Eye	2
Serpentine Princess	2
Invigoration	2
Vortex Trooper	2
Enervating Mist	2
Reckless Greed	2
Chain Energy	2
Ring of Destruction	2
Gyakutenno Megami	1
Sinister Serpent	1
Dian Keto the Cure Master	1
Tribute to the Doomed	1
White Hole	1
Solemn Judgment	1
Call of Darkness	1
Firewing Pegasus	1
Dark-Piercing Light	1
Deep Dark Trap Hole	1
Destruction Jammer	1
Dust Tornado	1
Pharaoh's Treasure	1
Hand Destruction	1
Curse of Dragon	1
Cyber Soldier of Darkworld	1
Lord of the Lamp	1
Water Omotics	1
Slate Warrior	1
Card Destruction	1
Snatch Steal	1
Ceasefire	1
Fairy Box	1
Magical Thorn	1
Magic Cylinder	1
Negate Attack	1
