card_name	count
Cyber Commander	13
Zone Eater	9
Steel Scorpion	9
Ooguchi	9
Sinister Serpent	9
The Unhappy Maiden	9
Acrobat Monkey	8
Skull Servant	7
Curtain of the Dark Ones	7
Fiend's Hand	7
Masked Clown	7
Machina Armored Unit	7
Rare Metalmorph	7
Kattapillar	6
Thousand-Eyes Idol	6
Swordsman from a Distant Land	6
Dark-Eyes Illusionist	6
Dancing Elf	6
Bat	6
Bokoichi the Freightening Car	6
Dharma Cannon	6
Kageningen	6
Mech Mole Zombie	6
Meda Bat	6
Human-Wave Tactics	6
Over Limit	6
Robolady	6
Roboyarou	6
The Earth - Hex-Sealed Fusion	6
Block Attack	6
Machine Assembly Line	6
Stop Defense	6
Super Robolady	6
Super Roboyarou	6
Polymerization	6
Armed Ninja	5
Robotic Knight	5
Oilman	5
Trap Hole	5
Goblin Attack Force	5
Enchanting Fitting Room	4
Smashing Ground	4
The Law of the Normal	4
Elder of the Six Samurai	4
Grandmaster of the Six Samurai	4
Legendary Six Samurai - Kageki	4
Legendary Six Samurai - Kizan	4
The Six Samurai - Irou	4
The Six Samurai - Zanji	4
Spirit of the Six Samurai	4
Kagemusha of the Six Samurai	4
Asceticism of the Six Samurai	4
Shien's Dojo	4
Shien's Smoke Signal	4
Six Samurai United	4
Temple of the Six	4
Double-Edged Sword Technique	4
Musakani Magatama	4
Return of the Six Samurai	4
Metalmorph	4
Fusion Sage	4
Monster Eye	3
Relinquished	3
Black Illusion Ritual	3
Karakuri Spider	3
Griggle	3
Milus Radiant	3
Queen's Double	3
Ameba	3
Lava Battleguard	3
Swamp Battleguard	3
Fusion Gate	3
Terraforming	3
Solidarity	3
Black Pendant	3
Horn of the Unicorn	3
Sword of Deep-Seated	3
Ancient Brain	3
Faith Bird	3
Skull Red Bird	3
Red-Eyes Black Dragon	3
Tainted Wisdom	3
Skull Dice	3
Leghul	2
Shadow Specter	2
M-Warrior #2	2
Jinzo #7	2
Seven Tools of the Bandit	2
Allure of Darkness	2
