card_name	count
Dark Magician Girl	12
Magical Exemplar	12
Magical Citadel of Endymion	12
Spell Power Grasp	12
Magician's Valkyria	11
Mystical Space Typhoon	11
Skilled Dark Magician	10
Pitch-Black Power Stone	9
Kiseitai	9
Nimble Momonga	9
Petit Angel	8
Instant Fusion	8
Sage's Stone	8
Transmodify	8
Musician King	8
Happy Lover	7
Skelengel	7
Solemn Wishes	7
The Forgiving Maiden	7
Numinous Healer	7
Dark Magician	6
Magic Formula	6
Key Mace	6
Shining Friendship	6
Neo-Spacian Air Hummingbird	6
Blue Medicine	6
Madolche Butlerusk	6
Madolche Chouxvalier	6
Madolche Magileine	6
Madolche Messengelato	6
Madolche Mewfeuille	6
Madolche Puddingcess	6
Madolche Chateau	6
Madolche Ticket	6
Madolche Lesson	6
Fire Sorcerer	6
Summoner Monk	5
Magician's Circle	5
Fairy's Gift	5
Darklord Marie	5
Enchanted Javelin	5
Winged Egg of New Life	4
Fairy Archer	4
Royal Knight	4
Madolche Hootcake	4
Terraforming	4
Madolche Nights	4
Madolche Tea Break	4
Leviair the Sea Dragon	4
M-X-Saber Invoker	4
Madolche Queen Tiaramisu	4
Wind-Up Zenmaines	4
Gift of The Mystical Elf	4
Maha Vailo	4
Bound Wand	4
Fire Princess	4
Polymerization	4
Wattkid	3
Supporter in the Shadows	3
Lunar Queen Elzaim	3
Monster Reborn	3
Magician of Faith	3
Dark Hole	3
Hoshiningen	3
Mokey Mokey	3
Nightmare Penguin	3
Book of Secret Arts	3
One-Shot Wand	3
Wonder Wand	3
Wall of Illusion	3
Giant Soldier of Stone	3
Skull-Mark Ladybug	3
Cure Mermaid	3
Dian Keto the Cure Master	3
Dancing Elf	2
Petit Dragon	2
Mystical Elf	2
Gemini Elf	2
Raigeki	2
Graceful Charity	2
Change of Heart	2
Gyakutenno Megami	2
Orion the Battle King	2
Absorbing Kid from the Sky	2
Rush Recklessly	2
Scapegoat	2
Madolchepalooza	2
Solemn Warning	2
Torrential Tribute	2
Trap Hole	2
Petit Moth	2
Red Archery Girl	2
Skull Servant	2
Breath of Light	2
De-Spell	2
Elf's Light	2
Rain of Mercy	2
Pikeru's Circle of Enchantment	2
Fusion Sage	2
St. Joan	2
Weather Control	1
Water Element	1
Enchanting Mermaid	1
Fairywitch	1
Green Phantom King	1
Waterdragon Fairy	1
Oscillo Hero	1
Tenderness	1
Lady of Faith	1
Beaver Warrior	1
Doriado	1
Beautiful Headhuntress	1
Water Omotics	1
Protector of the Throne	1
Key Mace #2	1
Maiden of the Moonlight	1
Dark Witch	1
Ill Witch	1
Queen of Autumn Leaves	1
Cyber-Tech Alligator	1
Queen's Double	1
Dark Eradicator Warlock	1
Michizure	1
The Fountain in the Sky	1
Chain Healing	1
Common Charity	1
Pixie Ring	1
Ultimate Offering	1
Tenshin	1
Dust Tornado	1
Dancing Fairy	1
Des Koala	1
Penguin Knight	1
Offerings to the Doomed	1
Silver Bow and Arrow	1
Waboku	1
Archfiend Marmot of Nefariousness	1
Flame Viper	1
Haniwa	1
Illusionist Faceless Mage	1
Mech Mole Zombie	1
Mystery Hand	1
Psychic Kappa	1
Queen Bird	1
Robolady	1
Sand Stone	1
Shadow Specter	1
Spherous Lady	1
Stone Dragon	1
Tentacle Plant	1
Tomozaurus	1
Turu-Purun	1
Pot the Trick	1
White Dolphin	1
Mage Power	1
United We Stand	1
Earthbound Spirit	1
Soul Tiger	1
The Reliable Guardian	1
Aqua Madoor	1
Granadora	1
Humanoid Slime	1
Gravekeeper's Guard	1
Battle Footballer	1
Mysterious Puppeteer	1
Spirit of the Harp	1
Flash Assailant	1
The Dragon Dwelling in the Cave	1
Maiden of the Aqua	1
Prevent Rat	1
Island Turtle	1
Card Destruction	1
Pot of Greed	1
Chorus of Sanctuary	1
Sebek's Blessing	1
Man-Eater Bug	1
Hane-Hane	1
Penguin Soldier	1
Sword of Deep-Seated	1
Mirror Force	1
Magic Jammer	1
Seven Tools of the Bandit	1
