card_name	count
Pinch Hopper	32
Man-Eater Bug	25
Parasite Paracide	24
Cocoon of Evolution	22
Insect Queen	19
Petit Moth	18
Gokibore	18
Flying Kamakiri #1	18
Forest	15
DNA Surgery	15
Insect Armor with Laser Cannon	14
Basic Insect	13
Hercules Beetle	13
Laser Cannon Armor	13
Howling Insect	13
Great Moth	12
Verdant Sanctuary	12
Giant Flea	11
Perfectly Ultimate Great Moth	11
Needle Worm	11
Multiplication of Ants	11
Big Insect	10
Skull-Mark Ladybug	10
Swords of Revealing Light	10
Lair Wire	10
Killer Needle	9
Infinite Dismissal	9
Insect Barrier	9
Ultimate Insect LV3	9
Ultimate Insect LV5	9
Drill Bug	8
Flying Kamakiri #2	8
Trap Hole	8
Larvae Moth	7
Swarm of Scarabs	7
Creature Swap	7
Giant Scorpion of the Tundra	6
Winged Cleaver	6
Korogashi	6
Gale Dogra	6
Bladefly	6
Eradicating Aerosol	6
Kuwagata α	6
Insect Princess	6
Ultimate Insect LV7	6
Infernity Beetle	6
The Graveyard in the Fourth Dimension	6
Jirai Gumo	6
4-Starred Ladybug of Doom	6
Insect Soldiers of the Sky	5
Pot of Greed	5
Swarm of Locusts	5
Sangan	5
Tribute Doll	5
Call of the Haunted	5
Witch of the Black Forest	4
Graceful Charity	4
Mystical Space Typhoon	4
Gokipon	4
Negate Attack	4
Safe Zone	4
Anteatereatingant	4
Armored Bee	4
Cross-Sword Beetle	4
Insect Neglect	4
Solidarity	4
Damage Condenser	4
Damage Gate	4
Underground Arachnid	4
Empress Mantis	4
Spiked Snail	3
Aqua Snake	3
Kamakiriman	3
Ganigumo	3
Giant Rat	3
Dark Hole	3
Monster Reborn	3
Change of Heart	3
Mirror Force	3
Leghul	3
Ooguchi	3
Rainbow Flower	3
Kattapillar	3
Tentacle Plant	3
Polymerization	3
Darkworld Thorns	3
Bean Soldier	3
Mystic Tomato	3
Ultimate Insect LV1	3
Premature Burial	3
One for One	3
Primitive Butterfly	3
Insect Imitation	3
King Tiger Wanghu	3
Burden of the Mighty	3
Level Up!	3
Penguin Soldier	3
Torrential Tribute	3
Zarigun	2
Bombardment Beetle	2
Gemini Elf	2
Karakuri Spider	2
Raigeki	2
Magic Jammer	2
Nightmare Scorpion	2
Minar	2
Hunter Spider	2
Kwagar Hercules	2
Vile Germs	2
Acid Trap Hole	2
Dungeon Worm	2
Scary Moth	2
Inzektor Exa-Stag	2
Number 20: Giga-Brilliant	2
Waboku	2
Jade Insect Whistle	2
Scapegoat	2
Kozaky's Self-Destruct Button	2
Pineapple Blast	2
Danipon	2
A Wild Monster Appears!	2
Poisonous Winds	2
Insect Knight	2
Seven Tools of the Bandit	2
Kumootoko	1
Naturia Butterfly	1
Sinister Serpent	1
Cyber Jar	1
Dark Elf	1
Harpie's Feather Duster	1
Snatch Steal	1
Fake Trap	1
Fissure	1
Feral Imp	1
Snakeyashi	1
Goblin's Secret Remedy	1
Ookazi	1
Rose Spectre of Dunn	1
Shield Worm	1
A Cat of Ill Omen	1
Magician of Faith	1
Mage Power	1
United We Stand	1
Dust Tornado	1
Sixth Sense	1
Ring of Destruction	1
Michizure	1
Level Modulation	1
Pot of Avarice	1
The Transmigration Prophecy	1
Crawling Dragon	1
Kageningen	1
Kurama	1
Mushroom Man	1
Nemuriko	1
Science Soldier	1
The Furious Sea King	1
The Shadow Who Controls the Dark	1
Man-Eating Plant	1
Metal Armored Bug	1
Hane-Hane	1
Card Destruction	1
