card_name	count
Monster Reborn	13
Raigeki	11
Wall of Illusion	11
Mirror Force	10
Swords of Revealing Light	9
Pot of Greed	9
Giant Germ	9
Change of Heart	8
Dark Elf	7
Megamorph	7
Graceful Charity	7
Headless Knight	6
Torrential Tribute	6
Destiny Board	6
D.D. Assailant	6
Ring of Destruction	6
Mystical Space Typhoon	6
Pyramid Turtle	6
Book of Life	6
Summoned Skull	5
D.D. Warrior	5
Flash Assailant	5
Dark Hole	5
Harpie's Feather Duster	5
Black Pendant	5
Magician of Faith	5
Magic Jammer	5
Magic Cylinder	5
La Jinn the Mystical Genie of the Lamp	4
Witch of the Black Forest	4
Heavy Storm	4
Dark Necrofear	4
A Cat of Ill Omen	4
Night Assailant	4
Spell Canceller	4
Slate Warrior	4
Koumori Dragon	3
Ghoul with an Appetite	3
B. Dragon Jungle King	3
Castle of Dark Illusions	3
Jirai Gumo	3
Big Shield Gardna	3
Despair from the Dark	3
Dark Energy	3
Gemini Elf	3
Vorse Raider	3
Nuvia the Wicked	3
Kryuel	3
Kycoo the Ghost Destroyer	3
Sangan	3
Spirit Message "A"	3
Spirit Message "I"	3
Spirit Message "L"	3
Spirit Message "N"	3
Call of the Haunted	3
Premature Burial	3
Tribute to the Doomed	3
Spear Dragon	3
Maha Vailo	3
Blast Sphere	3
Airknight Parshath	3
Dark Driceratops	3
Big Bang Shot	3
United We Stand	3
Mage Power	3
Gellenduo	3
Maryokutai	3
Spirit Reaper	3
Nobleman of Extermination	3
Goblin Zombie	3
Soul-Absorbing Bone Tower	3
Il Blud	3
Dust Tornado	3
Reaper on the Nightmare	3
Hyozanryu	2
Shadow Spell	2
Tao the Chanter	2
Mystic Clown	2
Earthbound Spirit	2
Kuriboh	2
Man-Eater Bug	2
The Portrait's Secret	2
The Earl of Demise	2
Breaker the Magical Warrior	2
Reload	2
Scapegoat	2
Dimension Fusion	2
Eternal Rest	2
Bark of Dark Ruler	2
Solemn Wishes	2
The Bistro Butcher	2
Axe of Despair	2
Shinato's Ark	2
Magical Mallet	2
Legacy of Yata-Garasu	2
Des Lacooda	2
Ryu Kokki	2
Card of Safe Return	2
Creature Swap	2
Giant Trunade	2
Lightning Vortex	2
Vampire's Curse	2
The Dark - Hex-Sealed Fusion	2
Vampire Genesis	2
Vampire Lady	2
Vampire Lord	2
Call of the Mummy	2
Overpowering Eye	2
Shield Crush	2
Raigeki Break	2
Serpent Night Dragon	1
Pumpking the King of Ghosts	1
Thousand-Eyes Idol	1
Feral Imp	1
Witty Phantom	1
Red-Eyes Black Dragon	1
Relinquished	1
Dian Keto the Cure Master	1
Tremendous Fire	1
Brain Control	1
Polymerization	1
Black Illusion Ritual	1
Metalmorph	1
Thousand-Eyes Restrict	1
Black Skull Dragon	1
Giant Soldier of Stone	1
Sinister Serpent	1
Penguin Soldier	1
Dream Clown	1
Masked Sorcerer	1
Kunai with Chain	1
The Gross Ghost of Fled Dreams	1
Gernia	1
D.D. Warrior Lady	1
Mystic Tomato	1
Waboku	1
Mask of Darkness	1
Delinquent Duo	1
The Shallow Grave	1
Return from the Different Dimension	1
Seven Tools of the Bandit	1
Gravekeeper's Servant	1
Dandylion	1
Exiled Force	1
Hamon, Lord of Striking Thunder	1
Marshmallon	1
Gold Sarcophagus	1
Morphing Jar	1
Card Destruction	1
Fissure	1
Nobleman of Crossout	1
Smashing Ground	1
Double Coston	1
Nightmare Horse	1
Patrician of Darkness	1
Spiritualism	1
