card_name	count
Nightmare Wheel	22
Lava Golem	19
Viser Des	15
Newdoria	15
Dark Jeroid	15
Gil Garth	14
Metal Reflect Slime	12
Helpoemer	11
Torrential Tribute	10
Mystic Tomato	10
Bowganian	9
Dark Room of Nightmare	9
Tremendous Fire	8
Call of the Haunted	8
Mystical Space Typhoon	7
Just Desserts	7
Makyura the Destructor	6
Legendary Fiend	6
The Winged Dragon of Ra	6
Harpie's Feather Duster	6
Monster Reborn	6
Byser Shock	6
Malevolent Catastrophe	6
Brain Control	6
Mirror Force	6
Stealth Bird	6
Swords of Concealing Light	6
Magical Stone Excavation	5
Sangan	5
Slate Warrior	5
Spirit Reaper	5
Premature Burial	5
Swords of Revealing Light	4
Pot of Greed	4
Change of Heart	4
Drillago	4
Nightmare's Steelcage	4
Coffin Seller	4
Ring of Destruction	4
Des Koala	4
Poison of the Old Man	4
Judgment of Anubis	4
Skull Invitation	4
Gravity Bind	4
Heavy Storm	4
Ryu-Kishin Powered	3
Ancient Lamp	3
The Bistro Butcher	3
Exarion Universe	3
Megamorph	3
Spell of Pain	3
Delinquent Duo	3
Giant Germ	3
Level Limit - Area B	3
Messenger of Peace	3
Magician of Faith	3
Mask of Darkness	3
Morphing Jar	3
Muka Muka	3
White Magical Hat	3
Gravekeeper's Servant	3
Book of Moon	3
Creature Swap	3
Scapegoat	3
Crush Card Virus	3
Gold Sarcophagus	3
Beast of Talwar	2
Garnecia Elefantis	2
Black Pendant	2
Dark Hole	2
Raigeki	2
Hidden Soldiers	2
Relieve Monster	2
Gilasaurus	2
Vampire Lord	2
Graceful Charity	2
Snatch Steal	2
Solemn Wishes	2
Ultimate Offering	2
Mystic Plasma Zone	2
Tribute to the Doomed	2
Cobra Jar	2
Meteor of Destruction	2
The Huge Revolution is Over	2
Man-Eater Bug	2
Morphing Jar #2	2
Fairy Box	2
Gene-Warped Warwolf	2
Chainsaw Insect	2
Goblin Elite Attack Force	2
Thousand-Eyes Idol	1
Temple of Skulls	1
Maryokutai	1
Zombyra the Dark	1
Relinquished	1
Dokurorider	1
Polymerization	1
Yami	1
Revival of Dokurorider	1
Black Illusion Ritual	1
Anti Raigeki	1
Thousand-Eyes Restrict	1
The Last Warrior from Another Planet	1
The Winged Dragon of Ra - Sphere Mode	1
The Winged Dragon of Ra - Immortal Phoenix	1
Card of Sanctity	1
Bottomless Trap Hole	1
Rope of Life	1
Goblin Attack Force	1
Granadora	1
Revival Jam	1
Twin-Headed Behemoth	1
Soul Exchange	1
United We Stand	1
Dust Tornado	1
Sakuretsu Armor	1
Cyber Jar	1
Card Destruction	1
Infinite Cards	1
Magic Cylinder	1
Fissure	1
Smashing Ground	1
D.D. Assailant	1
Dark Elf	1
Jirai Gumo	1
Giant Trunade	1
Lightning Vortex	1
Nobleman of Crossout	1
Shield Crush	1
Trap Hole	1
Prometheus, King of the Shadows	1
Eradicator Epidemic Virus	1
Widespread Ruin	1
Magical Mallet	1
