card_name	count
Dark Magician	70
Dark Magician Girl	51
Swords of Revealing Light	49
Summoned Skull	40
Big Shield Gardna	38
Skilled Dark Magician	35
Kuriboh	34
Monster Reborn	34
Gemini Elf	34
Mirror Force	30
Magician of Black Chaos	29
Change of Heart	29
Black Magic Ritual	28
Harpie's Feather Duster	28
Magic Cylinder	25
Call of the Haunted	23
Mystical Elf	22
Beta The Magnet Warrior	22
Queen's Knight	22
Giant Soldier of Stone	21
Alpha The Magnet Warrior	21
Gamma the Magnet Warrior	21
King's Knight	21
Polymerization	20
Pot of Greed	20
Celtic Guardian	19
Raigeki	19
Graceful Charity	18
Obnoxious Celtic Guard	18
Heavy Storm	18
Dark Hole	17
Dark Paladin	17
Slate Warrior	17
Premature Burial	17
Gazelle the King of Mythical Beasts	16
Brain Control	15
Dark Magic Curtain	15
Mammoth Graveyard	14
Cyber Jar	14
Snatch Steal	14
Breaker the Magical Warrior	14
Valkyrion the Magna Warrior	13
Torrential Tribute	13
Magic Jammer	13
Magician's Valkyria	13
Megamorph	12
Buster Blader	12
Mystical Space Typhoon	12
Dunames Dark Witch	12
Soul of Purity and Light	12
Slifer the Sky Dragon	11
Seven Tools of the Bandit	11
Jack's Knight	11
Winged Dragon, Guardian of the Fortress #1	10
Curse of Dragon	10
Berfomet	10
Summoner's Art	10
Magician of Faith	10
Shadow Spell	9
Dark Elf	9
Flash Assailant	9
Skull Servant	9
Sangan	9
Blackland Fire Dragon	8
Multiply	8
Dark Factory of Mass Production	8
Scapegoat	8
Mystic Box	8
Dark Magician of Chaos	8
Zombyra the Dark	8
Koumori Dragon	7
Fiend's Sanctuary	7
Magical Dimension	7
Fairy Box	7
Gaia The Fierce Knight	6
Chimera the Flying Mythical Beast	6
Gaia the Dragon Champion	6
Witch of the Black Forest	6
Red Archery Girl	6
Black Luster Soldier - Envoy of the Beginning	6
Spell Shattering Arrow	6
Soul Rope	6
D.D. Warrior Lady	6
Dedication through Light and Darkness	6
Magical Hats	6
Feral Imp	5
Beaver Warrior	5
Great White	5
King of the Swamp	5
Ancient Rules	5
Card Destruction	5
Soul Taker	5
Arcana Knight Joker	5
Airknight Parshath	5
Royal Magical Library	5
Dark Illusion	5
Dark Renewal	5
Mirage Knight	4
Dark Flare Knight	4
Detonate	4
Advanced Ritual Art	4
Justi-Break	4
Daigusto Emeral	4
Skilled White Magician	4
De-Fusion	4
Marshmallon	4
Delinquent Duo	4
Magical Arm Shield	4
United We Stand	4
Black Luster Soldier	3
Black Luster Ritual	3
Silver Fang	3
Disk Magician	3
Leo Wizard	3
Anti Raigeki	3
Chorus of Sanctuary	3
Sinister Serpent	3
White Hole	3
Right Leg of the Forbidden One	3
Left Leg of the Forbidden One	3
Right Arm of the Forbidden One	3
Left Arm of the Forbidden One	3
Meteor Dragon	3
Exodia the Forbidden One	3
Catapult Turtle	3
Archfiend of Gilfer	3
Horn of the Unicorn	3
Mystical Moon	3
Dark Magician Knight	3
Ancient Elf	3
Petit Dragon	3
Rogue Doll	3
Wretched Ghost of the Attic	3
Dokurorider	3
Hungry Burger	3
Preparation of Rites	3
Man-Eater Bug	3
Fusion Sage	3
Heart of the Underdog	3
Dark Magic Attack	3
Ring of Destruction	3
Gilasaurus	3
Spirit Reaper	3
Soul Exchange	3
Gear Golem the Moving Fortress	3
Thunder Dragon	3
Toon Table of Contents	3
Legend of Heart	3
Amulet Dragon	3
Dark Magician Girl the Dragon Knight	3
Mage Power	3
Magician's Circle	3
Nimble Momonga	3
Gold Sarcophagus	3
Neo the Magic Swordsman	2
Sorcerer of the Doomed	2
Blackwing - Fane the Steel Chain	2
Baby Dragon	2
Contract with the Abyss	2
Hamburger Recipe	2
Revival of Dokurorider	2
Miracle Restoring	2
Black Skull Dragon	2
Copycat	2
Kycoo the Ghost Destroyer	2
Skull Archfiend of Lightning	2
Different Dimension Capsule	2
Cost Down	2
Morphing Jar	2
Skelengel	2
Giant Trunade	2
Upstart Goblin	2
Giant Rat	2
Rock Bombardment	2
Gorz the Emissary of Darkness	2
Diffusion Wave-Motion	2
Chaos Sorcerer	2
Berserker Soul	2
The Eye of Timaeus	2
Solemn Wishes	2
Pot of Avarice	2
Wall of Revealing Light	2
Book of Secret Arts	2
Dragon Master Knight	2
Birthright	2
Griffore	1
Wall of Illusion	1
Horn Imp	1
Card of Sanctity	1
Reflect Bounder	1
Rocket Warrior	1
Sixth Sense	1
Obelisk the Tormentor	1
Monster Reincarnation	1
Dust Tornado	1
Interdimensional Matter Transporter	1
Metal Reflect Slime	1
Trap Jammer	1
Manju of the Ten Thousand Hands	1
Lightforce Sword	1
Book of Moon	1
Kuribandit	1
Attack the Moon!	1
Spiral Spear Strike	1
Legendary Knight Timaeus	1
Dark Magic Twin Burst	1
Sage's Stone	1
Neo Aqua Madoor	1
Jinzo	1
Chaos Emperor Dragon - Envoy of the End	1
Dandylion	1
Nobleman of Crossout	1
Smashing Ground	1
The Shallow Grave	1
Ultimate Offering	1
Legacy of Yata-Garasu	1
